strategy,count,delta,kappa,sim,seed
IL,84.0976,0.53,0.4,81,51
MF,35.9024,0.53,0.4,81,51
IL,39.2616,0.23,0.4,82,46
MF,80.7384,0.23,0.4,82,46
IL,86.4452,0.69,0.4,83,44
MF,33.5548,0.69,0.4,83,44
IL,53.068,0.35,0.4,84,46
MF,66.932,0.35,0.4,84,46
IL,67.608,0.45,0.4,85,51
MF,52.392,0.45,0.4,85,51
IL,30.0516,0.19,0.4,86,47
MF,89.9484,0.19,0.4,86,47
IL,70.9184,0.45,0.4,87,45
MF,49.0816,0.45,0.4,87,45
IL,87.6632,0.69,0.4,88,50
MF,32.3368,0.69,0.4,88,50
IL,17.4112,0.07,0.4,89,44
MF,102.5888,0.07,0.4,89,44
IL,108.0992,0.84,0.4,90,48
MF,11.9008,0.84,0.4,90,48
IL,103.662,0.77,0.4,91,47
MF,16.338,0.77,0.4,91,47
IL,30.4988,0.1,0.4,92,49
MF,89.5012,0.1,0.4,92,49
IL,12.3512,0.07,0.4,93,50
MF,107.6488,0.07,0.4,93,50
IL,99.8428,0.89,0.4,94,42
MF,20.1572,0.89,0.4,94,42
IL,82.2528,0.6,0.4,95,47
MF,37.7472,0.6,0.4,95,47
IL,76.8404,0.51,0.4,96,42
MF,43.1596,0.51,0.4,96,42
IL,104.4972,0.83,0.4,97,46
MF,15.5028,0.83,0.4,97,46
IL,23.0116,0.13,0.4,98,43
MF,96.9884,0.13,0.4,98,43
IL,57.048,0.32,0.4,99,48
MF,62.952,0.32,0.4,99,48
IL,17.27349737797499,0.13,0.4,100,42
MF,102.8716,0.13,0.4,100,42
IL,56.6752,0.32,0.4,101,49
MF,63.3248,0.32,0.4,101,49
IL,97.406,0.83,0.4,102,47
MF,22.594,0.83,0.4,102,47
IL,75.0412,0.6,0.4,103,46
MF,44.9588,0.6,0.4,103,46
IL,82.5824,0.51,0.4,104,43
MF,37.4176,0.51,0.4,104,43
IL,10.1016,0.07,0.4,105,51
MF,109.8984,0.07,0.4,105,51
IL,18.3416,0.1,0.4,106,48
MF,101.6584,0.1,0.4,106,48
IL,87.9072,0.77,0.4,107,46
MF,32.0928,0.77,0.4,107,46
IL,99.9184,0.89,0.4,108,43
MF,20.0816,0.89,0.4,108,43
IL,100.3596,0.84,0.4,109,49
MF,19.6404,0.84,0.4,109,49
IL,17.7388,0.07,0.4,110,45
MF,102.2612,0.07,0.4,110,45
IL,88.74,0.69,0.4,111,51
MF,31.26,0.69,0.4,111,51
IL,61.3496,0.45,0.4,112,44
MF,58.6504,0.45,0.4,112,44
IL,27.0904,0.19,0.4,113,46
MF,92.9096,0.19,0.4,113,46
IL,47.6484,0.45,0.4,114,50
MF,72.3516,0.45,0.4,114,50
IL,53.0152,0.35,0.4,115,47
