strategy,count,delta,kappa,sim,seed
MF,67.632,0.2,0.4,350,50
IL,113.2472,0.87,0.4,351,45
MF,6.7528,0.87,0.4,351,45
IL,18.9964,0.04,0.4,352,49
MF,101.0036,0.04,0.4,352,49
IL,43.328,0.25,0.4,353,42
MF,76.672,0.25,0.4,353,42
IL,91.7876,0.67,0.4,354,43
MF,28.2124,0.67,0.4,354,43
IL,112.0888,0.99,0.4,355,46
MF,7.9112,0.99,0.4,355,46
IL,71.066,0.46,0.4,356,48
MF,48.934,0.46,0.4,356,48
IL,73.6288,0.31,0.4,357,45
MF,46.3712,0.31,0.4,357,45
IL,102.6144,0.93,0.4,358,42
MF,17.3856,0.93,0.4,358,42
IL,52.8176,0.41,0.4,359,46
MF,67.1824,0.41,0.4,359,46
IL,33.8988,0.31,0.4,360,51
MF,86.1012,0.31,0.4,360,51
IL,12.0752,0.03,0.4,361,47
MF,107.9248,0.03,0.4,361,47
IL,84.3752,0.73,0.4,362,50
MF,35.6248,0.73,0.4,362,50
IL,89.2552,0.73,0.4,363,44
MF,30.7448,0.73,0.4,363,44
IL,75.1252,0.73,0.4,364,45
MF,44.8748,0.73,0.4,364,45
IL,94.0104,0.73,0.4,365,51
MF,25.9896,0.73,0.4,365,51
IL,11.658,0.03,0.4,366,46
MF,108.342,0.03,0.4,366,46
IL,44.684,0.31,0.4,367,50
MF,75.316,0.31,0.4,367,50
IL,61.6168,0.41,0.4,368,47
MF,58.3832,0.41,0.4,368,47
IL,55.326,0.31,0.4,369,44
MF,64.674,0.31,0.4,369,44
IL,105.7236,0.93,0.4,370,43
MF,14.2764,0.93,0.4,370,43
IL,85.8464,0.67,0.4,371,42
MF,34.1536,0.67,0.4,371,42
IL,67.4064,0.46,0.4,372,49
MF,52.5936,0.46,0.4,372,49
IL,101.6496,0.99,0.4,373,47
MF,18.3504,0.99,0.4,373,47
IL,14.23,0.04,0.4,374,48
MF,105.77,0.04,0.4,374,48
IL,104.7436,0.87,0.4,375,44
MF,15.2564,0.87,0.4,375,44
IL,38.7176,0.2,0.4,376,51
MF,81.2824,0.2,0.4,376,51
IL,45.17,0.25,0.4,377,43
MF,74.83,0.25,0.4,377,43
IL,25.8716,0.09,0.4,378,42
MF,94.1284,0.09,0.4,378,42
IL,41.166,0.28,0.4,379,49
MF,78.834,0.28,0.4,379,49
IL,100.728,0.87,0.4,380,50
MF,19.272,0.87,0.4,380,50
IL,39.2892,0.2,0.4,381,45
MF,80.7108,0.2,0.4,381,45
IL,105.724,0.91,0.4,382,50
MF,14.276,0.91,0.4,382,50
IL,103.688,0.91,0.4,383,44
MF,16.312,0.91,0.4,383,44
IL,24.0816,0.12,0.4,384,48
MF,95.9184,0.12,0.4,384,48
IL,30.6256,0.33,0.4,385,43
MF,89.3744,0.33,0.4,385,43
IL,89.332,0.71,0.4,386,42
MF,30.668,0.71,0.4,386,42
IL,51.7048,0.27,0.4,387,44
MF,68.2952,0.27,0.4,387,44
IL,92.5852,0.85,0.4,388,43
MF,27.4148,0.85,0.4,388,43
IL,6.1624,0.0,0.4,389,42
MF,113.8376,0.0,0.4,389,42
IL,64.9232,0.57,0.4,390,47
MF,55.0768,0.57,0.4,390,47
IL,101.8788,0.88,0.4,391,49
MF,18.1212,0.88,0.4,391,49
IL,50.3808,0.27,0.4,392,50
MF,69.6192,0.27,0.4,392,50
IL,78.3752,0.49,0.4,393,44
MF,41.6248,0.49,0.4,393,44
IL,34.214,0.15,0.4,394,46
MF,85.786,0.15,0.4,394,46
IL,70.7992,0.65,0.4,395,51
MF,49.2008,0.65,0.4,395,51
IL,44.5164,0.39,0.4,396,47
MF,75.4836,0.39,0.4,396,47
IL,71.0668,0.65,0.4,397,45
MF,48.9332,0.65,0.4,397,45
IL,70.8744,0.49,0.4,398,50
MF,49.1256,0.49,0.4,398,50
IL,77.3464,0.57,0.4,399,43
MF,42.6536,0.57,0.4,399,43
IL,6.7172,0.0,0.4,400,46
MF,113.2828,0.0,0.4,400,46
IL,75.168,0.76,0.4,401,48
MF,44.832,0.76,0.4,401,48
IL,100.5348,0.85,0.4,402,47
MF,19.4652,0.85,0.4,402,47
IL,55.6884,0.39,0.4,403,43
MF,64.3116,0.39,0.4,403,43
IL,47.3936,0.18,0.4,404,48
MF,72.6064,0.18,0.4,404,48
IL,46.0356,0.34,0.4,405,49
MF,73.9644,0.34,0.4,405,49
IL,27.3504,0.15,0.4,406,42
MF,92.6496,0.15,0.4,406,42
IL,55.5888,0.43,0.4,407,50
MF,64.4112,0.43,0.4,407,50
IL,57.1916,0.33,0.4,408,47
MF,62.8084,0.33,0.4,408,47
IL,67.5332,0.43,0.4,409,44
MF,52.4668,0.43,0.4,409,44
IL,101.7248,0.82,0.4,410,49
MF,18.2752,0.82,0.4,410,49
IL,12.414,0.01,0.4,411,45
MF,107.586,0.01,0.4,411,45
IL,6.083707635769702,0.01,0.4,412,51
MF,114.0404,0.01,0.4,412,51
IL,102.7152,0.71,0.4,413,46
MF,17.2848,0.71,0.4,413,46
IL,86.5048,0.7,0.4,414,48
MF,33.4952,0.7,0.4,414,48
IL,103.9132,0.99,0.4,415,43
MF,16.0868,0.99,0.4,415,43
IL,85.2156,0.67,0.4,416,46
MF,34.7844,0.67,0.4,416,46
IL,20.9124,0.17,0.4,417,51
MF,99.0876,0.17,0.4,417,51
IL,33.2012,0.17,0.4,418,45
MF,86.7988,0.17,0.4,418,45
IL,102.0292,0.94,0.4,419,49
MF,17.9708,0.94,0.4,419,49
IL,19.626,0.09,0.4,420,46
MF,100.374,0.09,0.4,420,46
IL,82.0276,0.55,0.4,421,44
MF,37.9724,0.55,0.4,421,44
IL,93.6576,0.79,0.4,422,51
MF,26.3424,0.79,0.4,422,51
IL,104.0512,0.79,0.4,423,45
MF,15.9488,0.79,0.4,423,45
IL,37.5396,0.25,0.4,424,47
MF,82.4604,0.25,0.4,424,47
IL,83.6068,0.55,0.4,425,50
MF,36.3932,0.55,0.4,425,50
IL,36.262,0.22,0.4,426,49
MF,83.738,0.22,0.4,426,49
IL,104.2756,0.8,0.4,427,45
MF,15.7244,0.8,0.4,427,45
IL,15.636,0.03,0.4,428,42
MF,104.364,0.03,0.4,428,42
IL,104.5624,0.8,0.4,429,51
MF,15.4376,0.8,0.4,429,51
IL,100.98,0.93,0.4,430,47
MF,19.02,0.93,0.4,430,47
IL,58.8584,0.41,0.4,431,43
MF,61.1416,0.41,0.4,431,43
IL,52.0588,0.41,0.4,432,42
MF,67.9412,0.41,0.4,432,42
IL,106.0016,0.93,0.4,433,46
MF,13.9984,0.93,0.4,433,46
IL,102.7864,0.8,0.4,434,50
MF,17.2136,0.8,0.4,434,50
IL,100.9056,0.8,0.4,435,44
MF,19.0944,0.8,0.4,435,44
IL,41.8104,0.22,0.4,436,48
MF,78.1896,0.22,0.4,436,48
IL,14.8096,0.03,0.4,437,43
MF,105.1904,0.03,0.4,437,43
IL,71.93,0.55,0.4,438,51
MF,48.07,0.55,0.4,438,51
IL,48.0736,0.25,0.4,439,46
MF,71.9264,0.25,0.4,439,46
IL,95.2784,0.79,0.4,440,44
MF,24.7216,0.79,0.4,440,44
IL,82.3244,0.79,0.4,441,50
MF,37.6756,0.79,0.4,441,50
IL,61.8612,0.55,0.4,442,45
MF,58.1388,0.55,0.4,442,45
IL,15.1728,0.09,0.4,443,47
MF,104.8272,0.09,0.4,443,47
IL,106.3264,0.94,0.4,444,48
MF,13.6736,0.94,0.4,444,48
IL,32.5852,0.17,0.4,445,44
MF,87.4148,0.17,0.4,445,44
IL,101.9724,0.99,0.4,446,42
MF,18.0276,0.99,0.4,446,42
IL,33.5488,0.17,0.4,447,50
MF,86.4512,0.17,0.4,447,50
IL,92.0212,0.67,0.4,448,47
MF,27.9788,0.67,0.4,448,47
IL,87.23,0.7,0.4,449,49
MF,32.77,0.7,0.4,449,49
IL,103.3116,0.71,0.4,450,47
MF,16.6884,0.71,0.4,450,47
IL,10.3148,0.01,0.4,451,50
MF,109.6852,0.01,0.4,451,50
IL,10.2444,0.01,0.4,452,44
MF,109.7556,0.01,0.4,452,44
IL,96.9532,0.82,0.4,453,48
MF,23.0468,0.82,0.4,453,48
IL,52.092,0.43,0.4,454,45
MF,67.908,0.43,0.4,454,45
IL,43.2172,0.33,0.4,455,46
MF,76.7828,0.33,0.4,455,46
IL,60.7612,0.43,0.4,456,51
MF,59.2388,0.43,0.4,456,51
IL,48.5612,0.34,0.4,457,48
MF,71.4388,0.34,0.4,457,48
IL,30.7104,0.15,0.4,458,43
MF,89.2896,0.15,0.4,458,43
IL,45.44,0.39,0.4,459,42
MF,74.56,0.39,0.4,459,42
IL,33.1036,0.18,0.4,460,49
MF,86.8964,0.18,0.4,460,49
IL,105.8812,0.85,0.4,461,46
MF,14.1188,0.85,0.4,461,46
IL,87.6536,0.57,0.4,462,42
MF,32.3464,0.57,0.4,462,42
IL,91.7708,0.76,0.4,463,49
MF,28.2292,0.76,0.4,463,49
IL,8.2716,0.0,0.4,464,47
MF,111.7284,0.0,0.4,464,47
IL,40.2728,0.27,0.4,465,43
MF,79.7272,0.27,0.4,465,43
IL,22.2308,0.06,0.4,466,48
MF,97.7692,0.06,0.4,466,48
IL,9.9296,0.0,0.4,467,51
MF,110.0704,0.0,0.4,467,51
IL,93.5336,0.85,0.4,468,44
MF,26.4664,0.85,0.4,468,44
IL,9.9124,0.0,0.4,469,45
MF,110.0876,0.0,0.4,469,45
IL,101.8384,0.85,0.4,470,50
MF,18.1616,0.85,0.4,470,50
IL,55.7776,0.49,0.4,471,43
MF,64.2224,0.49,0.4,471,43
IL,105.0528,0.68,0.4,472,48
MF,14.9472,0.68,0.4,472,48
IL,60.4988,0.44,0.4,473,49
MF,59.5012,0.44,0.4,473,49
IL,84.5924,0.65,0.4,474,42
MF,35.4076,0.65,0.4,474,42
IL,41.0324,0.33,0.4,475,50
MF,78.9676,0.33,0.4,475,50
IL,58.2012,0.43,0.4,476,47
MF,61.7988,0.43,0.4,476,47
IL,101.168,0.91,0.4,477,43
MF,18.832,0.91,0.4,477,43
IL,53.3096,0.33,0.4,478,44
MF,66.6904,0.33,0.4,478,44
IL,81.3544,0.71,0.4,479,45
MF,38.6456,0.71,0.4,479,45
IL,103.4968,0.71,0.4,480,51
MF,16.5032,0.71,0.4,480,51
IL,12.5568,0.01,0.4,481,46
MF,107.4432,0.01,0.4,481,46
IL,36.5596,0.17,0.4,482,46
MF,83.4404,0.17,0.4,482,46
IL,101.1832,0.67,0.4,483,51
MF,18.8168,0.67,0.4,483,51
IL,105.0612,0.67,0.4,484,45
MF,14.9388,0.67,0.4,484,45
IL,92.354,0.87,0.4,485,43
MF,27.646,0.87,0.4,485,43
IL,98.262,0.79,0.4,486,46
MF,21.738,0.79,0.4,486,46
IL,27.7568,0.25,0.4,487,44
MF,92.2432,0.25,0.4,487,44
IL,17.7792,0.09,0.4,488,51
MF,102.2208,0.09,0.4,488,51
IL,22.2384,0.09,0.4,489,45
MF,97.7616,0.09,0.4,489,45
IL,72.384,0.55,0.4,490,47
MF,47.616,0.55,0.4,490,47
IL,44.8424,0.25,0.4,491,50
MF,75.1576,0.25,0.4,491,50
IL,26.262,0.2,0.4,492,42
MF,93.738,0.2,0.4,492,42
IL,70.2016,0.52,0.4,493,49
MF,49.7984,0.52,0.4,493,49
IL,101.7824,0.73,0.4,494,42
MF,18.2176,0.73,0.4,494,42
IL,83.6972,0.8,0.4,495,46
MF,36.3028,0.8,0.4,495,46
IL,112.3068,0.93,0.4,496,50
MF,7.6932,0.93,0.4,496,50
IL,28.7,0.31,0.4,497,43
MF,91.3,0.31,0.4,497,43
IL,102.7496,0.93,0.4,498,44
MF,17.2504,0.93,0.4,498,44
IL,43.8212,0.31,0.4,499,42
MF,76.1788,0.31,0.4,499,42
IL,96.5324,0.93,0.4,500,45
MF,23.4676,0.93,0.4,500,45
IL,109.1528,0.93,0.4,501,51
MF,10.8472,0.93,0.4,501,51
IL,100.366,0.8,0.4,502,47
MF,19.634,0.8,0.4,502,47
IL,79.638,0.52,0.4,503,48
MF,40.362,0.52,0.4,503,48
IL,94.7696,0.73,0.4,504,43
MF,25.2304,0.73,0.4,504,43
IL,36.0024,0.25,0.4,505,51
MF,83.9976,0.25,0.4,505,51
IL,69.0872,0.55,0.4,506,46
MF,50.9128,0.55,0.4,506,46
IL,29.7284,0.09,0.4,507,44
MF,90.2716,0.09,0.4,507,44
IL,35.52,0.2,0.4,508,43
MF,84.48,0.2,0.4,508,43
IL,105.8224,0.87,0.4,509,42
MF,14.1776,0.87,0.4,509,42
IL,16.7464,0.09,0.4,510,50
MF,103.2536,0.09,0.4,510,50
IL,42.2816,0.25,0.4,511,45
MF,77.7184,0.25,0.4,511,45
IL,90.0744,0.79,0.4,512,47
MF,29.9256,0.79,0.4,512,47
IL,90.024,0.67,0.4,513,44
MF,29.976,0.67,0.4,513,44
IL,85.7472,0.67,0.4,514,50
MF,34.2528,0.67,0.4,514,50
IL,32.506,0.17,0.4,515,47
MF,87.494,0.17,0.4,515,47
IL,9.7416,0.01,0.4,516,47
MF,110.2584,0.01,0.4,516,47
IL,85.752,0.71,0.4,517,50
MF,34.248,0.71,0.4,517,50
IL,92.6944,0.71,0.4,518,44
MF,27.3056,0.71,0.4,518,44
IL,97.928,0.91,0.4,519,42
MF,22.072,0.91,0.4,519,42
IL,53.7584,0.33,0.4,520,45
MF,66.2416,0.33,0.4,520,45
IL,77.3752,0.43,0.4,521,46
MF,42.6248,0.43,0.4,521,46
IL,47.6268,0.33,0.4,522,51
MF,72.3732,0.33,0.4,522,51
IL,55.6236,0.44,0.4,523,48
MF,64.3764,0.44,0.4,523,48
IL,82.1492,0.65,0.4,524,43
MF,37.8508,0.65,0.4,524,43
IL,75.7792,0.49,0.4,525,42
MF,44.2208,0.49,0.4,525,42
IL,77.4792,0.68,0.4,526,49
MF,42.5208,0.68,0.4,526,49
IL,98.1396,0.85,0.4,527,51
MF,21.8604,0.85,0.4,527,51
IL,9.24898456539399,0.0,0.4,528,44
MF,110.8916,0.0,0.4,528,44
IL,50.7408,0.27,0.4,529,42
MF,69.2592,0.27,0.4,529,42
IL,99.4664,0.85,0.4,530,45
MF,20.5336,0.85,0.4,530,45
IL,8.8564,0.0,0.4,531,50
MF,111.1436,0.0,0.4,531,50
IL,16.7436,0.06,0.4,532,49
MF,103.2564,0.06,0.4,532,49
IL,17.056,0.06,0.4,533,50
MF,102.944,0.06,0.4,533,50
IL,100.1864,0.76,0.4,534,47
MF,19.8136,0.76,0.4,534,47
IL,9.4504,0.0,0.4,535,49
MF,110.5496,0.0,0.4,535,49
IL,91.2768,0.88,0.4,536,42
MF,28.7232,0.88,0.4,536,42
IL,97.3256,0.85,0.4,537,48
MF,22.6744,0.85,0.4,537,48
IL,22.0124,0.06,0.4,538,44
MF,97.9876,0.06,0.4,538,44
IL,101.7344,0.68,0.4,539,50
MF,18.2656,0.68,0.4,539,50
IL,19.3748,0.18,0.4,540,47
MF,100.6252,0.18,0.4,540,47
IL,54.2608,0.44,0.4,541,45
MF,65.7392,0.44,0.4,541,45
IL,72.3464,0.44,0.4,542,51
MF,47.6536,0.44,0.4,542,51
IL,75.7104,0.68,0.4,543,44
MF,44.2896,0.68,0.4,543,44
IL,42.1528,0.34,0.4,544,46
MF,77.8472,0.34,0.4,544,46
IL,18.2472,0.12,0.4,545,43
MF,101.7528,0.12,0.4,545,43
IL,49.146,0.33,0.4,546,48
MF,70.854,0.33,0.4,546,48
IL,98.4704,0.82,0.4,547,46
MF,21.5296,0.82,0.4,547,46
IL,92.3108,0.7,0.4,548,47
MF,27.6892,0.7,0.4,548,47
IL,91.9148,0.71,0.4,549,49
MF,28.0852,0.71,0.4,549,49
IL,81.0268,0.67,0.4,550,49
MF,38.9732,0.67,0.4,550,49
IL,74.2916,0.46,0.4,551,42
MF,45.7084,0.46,0.4,551,42
IL,105.3908,0.94,0.4,552,46
MF,14.6092,0.94,0.4,552,46
IL,13.0564,0.09,0.4,553,49
MF,106.9436,0.09,0.4,553,49
IL,43.3012,0.28,0.4,554,42
MF,76.6988,0.28,0.4,554,42
IL,11.7676,0.04,0.4,555,43
MF,108.2324,0.04,0.4,555,43
IL,48.9168,0.25,0.4,556,48
MF,71.0832,0.25,0.4,556,48
IL,49.8772,0.22,0.4,557,46
MF,70.1228,0.22,0.4,557,46
IL,87.73,0.52,0.4,558,51
MF,32.27,0.52,0.4,558,51
IL,73.6588,0.52,0.4,559,45
MF,46.3412,0.52,0.4,559,45
IL,101.4664,0.93,0.4,560,48
MF,18.5336,0.93,0.4,560,48
IL,107.9464,0.93,0.4,561,49
MF,12.0536,0.93,0.4,561,49
IL,71.2656,0.52,0.4,562,44
MF,48.7344,0.52,0.4,562,44
IL,80.36,0.52,0.4,563,50
MF,39.64,0.52,0.4,563,50
IL,32.0372,0.22,0.4,564,47
MF,87.9628,0.22,0.4,564,47
IL,16.3696,0.04,0.4,565,42
MF,103.6304,0.04,0.4,565,42
IL,32.596,0.25,0.4,566,49
MF,87.404,0.25,0.4,566,49
IL,30.4036,0.09,0.4,567,48
MF,89.5964,0.09,0.4,567,48
IL,47.2648,0.28,0.4,568,43
MF,72.7352,0.28,0.4,568,43
IL,108.9836,0.94,0.4,569,47
MF,11.0164,0.94,0.4,569,47
IL,96.6952,0.67,0.4,570,48
MF,23.3048,0.67,0.4,570,48
IL,65.4564,0.46,0.4,571,43
MF,54.5436,0.46,0.4,571,43
IL,98.59,0.71,0.4,572,48
MF,21.41,0.71,0.4,572,48
IL,90.2844,0.7,0.4,573,46
MF,29.7156,0.7,0.4,573,46
IL,101.5932,0.82,0.4,574,47
MF,18.4068,0.82,0.4,574,47
IL,26.0236,0.12,0.4,575,42
MF,93.9764,0.12,0.4,575,42
IL,63.6344,0.33,0.4,576,49
MF,56.3656,0.33,0.4,576,49
IL,38.1148,0.34,0.4,577,47
MF,81.8852,0.34,0.4,577,47
IL,91.0072,0.68,0.4,578,45
MF,28.9928,0.68,0.4,578,45
IL,76.8536,0.44,0.4,579,50
MF,43.1464,0.44,0.4,579,50
IL,62.6568,0.44,0.4,580,44
MF,57.3432,0.44,0.4,580,44
IL,38.6592,0.18,0.4,581,46
MF,81.3408,0.18,0.4,581,46
IL,90.4156,0.68,0.4,582,51
MF,29.5844,0.68,0.4,582,51
IL,28.096,0.06,0.4,583,45
MF,91.904,0.06,0.4,583,45
IL,95.4712,0.85,0.4,584,49
MF,24.5288,0.85,0.4,584,49
IL,10.2612,0.0,0.4,585,48
MF,109.7388,0.0,0.4,585,48
IL,88.0136,0.76,0.4,586,46
MF,31.9864,0.76,0.4,586,46
IL,18.5644,0.06,0.4,587,51
MF,101.4356,0.06,0.4,587,51
IL,98.5268,0.88,0.4,588,43
MF,21.4732,0.88,0.4,588,43
IL,97.4976,0.76,0.4,589,50
MF,22.5024,0.76,0.4,589,50
IL,15.3848,0.06,0.4,590,47
MF,104.6152,0.06,0.4,590,47
IL,91.4316,0.76,0.4,591,44
MF,28.5684,0.76,0.4,591,44
IL,24.6756,0.18,0.4,592,50
MF,95.3244,0.18,0.4,592,50
IL,71.234,0.68,0.4,593,47
MF,48.766,0.68,0.4,593,47
IL,37.7384,0.34,0.4,594,45
MF,82.2616,0.34,0.4,594,45
IL,102.1332,0.96,0.4,595,42
MF,17.8668,0.96,0.4,595,42
IL,43.4152,0.34,0.4,596,51
MF,76.5848,0.34,0.4,596,51
IL,41.6892,0.18,0.4,597,44
MF,78.3108,0.18,0.4,597,44
IL,68.9168,0.44,0.4,598,46
MF,51.0832,0.44,0.4,598,46
IL,92.4952,0.62,0.4,599,43
MF,27.5048,0.62,0.4,599,43
IL,54.2468,0.43,0.4,600,48
MF,65.7532,0.43,0.4,600,48
IL,101.5904,0.82,0.4,601,51
MF,18.4096,0.82,0.4,601,51
IL,83.9528,0.7,0.4,602,44
MF,36.0472,0.7,0.4,602,44
IL,10.5212,0.01,0.4,603,49
MF,109.4788,0.01,0.4,603,49
IL,84.5612,0.82,0.4,604,45
MF,35.4388,0.82,0.4,604,45
IL,102.4288,0.7,0.4,605,50
MF,17.89327902240326,0.7,0.4,605,50
IL,100.2744,0.94,0.4,606,45
MF,19.7256,0.94,0.4,606,45
IL,23.7944,0.17,0.4,607,49
MF,96.2056,0.17,0.4,607,49
IL,40.7444,0.36,0.4,608,42
MF,79.2556,0.36,0.4,608,42
IL,111.48,0.94,0.4,609,51
MF,8.52,0.94,0.4,609,51
IL,92.8216,0.79,0.4,610,49
MF,27.1784,0.79,0.4,610,49
IL,84.3168,0.58,0.4,611,42
MF,35.6832,0.58,0.4,611,42
IL,108.1916,0.74,0.4,612,43
MF,11.8084,0.74,0.4,612,43
IL,87.88,0.55,0.4,613,48
MF,32.12,0.55,0.4,613,48
IL,94.9608,0.5,0.4,614,43
MF,25.0392,0.5,0.4,614,43
IL,65.6732,0.52,0.4,615,46
MF,54.3268,0.52,0.4,615,46
IL,42.5316,0.22,0.4,616,51
MF,77.4684,0.22,0.4,616,51
IL,50.9452,0.22,0.4,617,45
MF,69.0548,0.22,0.4,617,45
IL,97.4412,0.8,0.4,618,49
MF,22.5588,0.8,0.4,618,49
IL,104.3696,0.8,0.4,619,48
MF,15.6304,0.8,0.4,619,48
IL,28.8552,0.22,0.4,620,44
MF,91.1448,0.22,0.4,620,44
IL,72.642,0.5,0.4,621,42
MF,47.358,0.5,0.4,621,42
IL,38.3104,0.22,0.4,622,50
MF,81.6896,0.22,0.4,622,50
IL,77.7476,0.52,0.4,623,47
MF,42.2524,0.52,0.4,623,47
IL,90.958,0.74,0.4,624,42
MF,29.042,0.74,0.4,624,42
IL,76.346,0.55,0.4,625,49
MF,43.654,0.55,0.4,625,49
IL,99.246,0.79,0.4,626,48
MF,20.754,0.79,0.4,626,48
IL,82.8424,0.58,0.4,627,43
MF,37.1576,0.58,0.4,627,43
IL,96.8148,0.94,0.4,628,50
MF,23.1852,0.94,0.4,628,50
IL,31.7088,0.17,0.4,629,48
MF,88.2912,0.17,0.4,629,48
IL,104.0524,0.94,0.4,630,44
MF,15.9476,0.94,0.4,630,44
IL,60.884,0.36,0.4,631,43
MF,59.116,0.36,0.4,631,43
IL,95.7248,0.7,0.4,632,51
MF,24.2752,0.7,0.4,632,51
IL,87.8248,0.82,0.4,633,44
MF,32.1752,0.82,0.4,633,44
IL,7.0,0.01,0.4,634,48
MF,113.1484,0.01,0.4,634,48
IL,86.8544,0.7,0.4,635,45
MF,33.1456,0.7,0.4,635,45
IL,98.7572,0.82,0.4,636,50
MF,21.2428,0.82,0.4,636,50
IL,84.626,0.62,0.4,637,42
MF,35.374,0.62,0.4,637,42
IL,71.2972,0.43,0.4,638,49
MF,48.7028,0.43,0.4,638,49
IL,50.0672,0.44,0.4,639,47
MF,69.9328,0.44,0.4,639,47
IL,27.4932,0.18,0.4,640,45
MF,92.5068,0.18,0.4,640,45
IL,47.4308,0.34,0.4,641,50
MF,72.5692,0.34,0.4,641,50
IL,62.4704,0.34,0.4,642,44
MF,57.5296,0.34,0.4,642,44
IL,77.0084,0.68,0.4,643,46
MF,42.9916,0.68,0.4,643,46
IL,33.274,0.18,0.4,644,51
MF,86.726,0.18,0.4,644,51
IL,105.132,0.96,0.4,645,43
MF,14.868,0.96,0.4,645,43
IL,82.5908,0.76,0.4,646,45
MF,37.4092,0.76,0.4,646,45
IL,9.8996,0.06,0.4,647,46
MF,110.1004,0.06,0.4,647,46
IL,100.2596,0.76,0.4,648,51
MF,19.7404,0.76,0.4,648,51
IL,59.6444,0.49,0.4,649,49
MF,60.3556,0.49,0.4,649,49
IL,104.8304,0.96,0.4,650,47
MF,15.1696,0.96,0.4,650,47
IL,71.5936,0.68,0.4,651,42
MF,48.4064,0.68,0.4,651,42
IL,59.7352,0.44,0.4,652,43
MF,60.2648,0.44,0.4,652,43
IL,88.2688,0.65,0.4,653,48
MF,31.7312,0.65,0.4,653,48
IL,48.7984,0.27,0.4,654,49
MF,71.2016,0.27,0.4,654,49
IL,106.5476,0.88,0.4,655,50
MF,13.4524,0.88,0.4,655,50
IL,13.1192,0.06,0.4,656,42
MF,106.8808,0.06,0.4,656,42
IL,102.11,0.88,0.4,657,44
MF,17.89,0.88,0.4,657,44
IL,23.0184,0.12,0.4,658,51
MF,96.9816,0.12,0.4,658,51
IL,70.1064,0.62,0.4,659,46
MF,49.8936,0.62,0.4,659,46
IL,107.0248,0.91,0.4,660,49
MF,12.9752,0.91,0.4,660,49
IL,19.632,0.12,0.4,661,45
MF,100.368,0.12,0.4,661,45
IL,15.0508,0.04,0.4,662,45
MF,104.9492,0.04,0.4,662,45
IL,72.0048,0.58,0.4,663,47
MF,47.9952,0.58,0.4,663,47
IL,105.1604,0.87,0.4,664,49
MF,14.8396,0.87,0.4,664,49
IL,35.1736,0.28,0.4,665,50
MF,84.8264,0.28,0.4,665,50
IL,39.1776,0.2,0.4,666,48
MF,80.8224,0.2,0.4,666,48
IL,90.7572,0.74,0.4,667,46
MF,29.2428,0.74,0.4,667,46
IL,43.5688,0.28,0.4,668,44
MF,76.4312,0.28,0.4,668,44
IL,15.0272,0.04,0.4,669,51
MF,104.9728,0.04,0.4,669,51
IL,42.664,0.36,0.4,670,47
MF,77.336,0.36,0.4,670,47
IL,79.9608,0.46,0.4,671,50
MF,40.0392,0.46,0.4,671,50
IL,64.6936,0.46,0.4,672,44
MF,55.3064,0.46,0.4,672,44
IL,54.2168,0.31,0.4,673,49
MF,65.7832,0.31,0.4,673,49
IL,75.2568,0.52,0.4,674,43
MF,44.7432,0.52,0.4,674,43
IL,104.3212,0.73,0.4,675,48
MF,15.6788,0.73,0.4,675,48
IL,77.0792,0.5,0.4,676,46
MF,42.9208,0.5,0.4,676,46
IL,71.112,0.52,0.4,677,42
MF,48.888,0.52,0.4,677,42
IL,57.0448,0.5,0.4,678,47
MF,62.9552,0.5,0.4,678,47
IL,85.4896,0.73,0.4,679,49
MF,34.5104,0.73,0.4,679,49
IL,50.1976,0.31,0.4,680,48
MF,69.8024,0.31,0.4,680,48
IL,65.608,0.46,0.4,681,45
MF,54.392,0.46,0.4,681,45
IL,74.184,0.46,0.4,682,51
MF,45.816,0.46,0.4,682,51
IL,75.4176,0.36,0.4,683,46
MF,44.5824,0.36,0.4,683,46
IL,17.1,0.04,0.4,684,50
MF,102.9,0.04,0.4,684,50
IL,28.2856,0.28,0.4,685,45
MF,91.7144,0.28,0.4,685,45
IL,89.4476,0.74,0.4,686,47
MF,30.5524,0.74,0.4,686,47
IL,24.444,0.2,0.4,687,49
MF,95.556,0.2,0.4,687,49
IL,46.2,0.28,0.4,688,51
MF,73.8,0.28,0.4,688,51
IL,101.306,0.87,0.4,689,48
MF,18.694,0.87,0.4,689,48
IL,70.24,0.58,0.4,690,46
MF,49.76,0.58,0.4,690,46
IL,13.7636,0.04,0.4,691,44
MF,106.2364,0.04,0.4,691,44
IL,24.5908,0.12,0.4,692,44
MF,95.4092,0.12,0.4,692,44
IL,102.2752,0.91,0.4,693,48
MF,17.7248,0.91,0.4,693,48
IL,56.9568,0.62,0.4,694,47
MF,63.0432,0.62,0.4,694,47
IL,13.4212,0.12,0.4,695,50
MF,106.5788,0.12,0.4,695,50
IL,105.824,0.88,0.4,696,45
MF,14.176,0.88,0.4,696,45
IL,103.5108,0.88,0.4,697,51
MF,16.4892,0.88,0.4,697,51
IL,31.0072,0.27,0.4,698,48
MF,88.9928,0.27,0.4,698,48
IL,15.2576,0.06,0.4,699,43
MF,104.7424,0.06,0.4,699,43
IL,72.6472,0.44,0.4,700,42
MF,47.3528,0.44,0.4,700,42
IL,81.442,0.65,0.4,701,49
MF,38.558,0.65,0.4,701,49
IL,109.6224,0.96,0.4,702,46
MF,10.3776,0.96,0.4,702,46
