strategy,avg_payoff,delta,lambda,kappa,sim,seed
MF,0.29899589799422793,0.58,0.2,0.4,609,47
IL,0.5952525248085248,0.98,0.1,0.4,610,48
MB,0.7083907691582964,0.98,0.1,0.4,610,48
MF,-0.005624773673728047,0.98,0.1,0.4,610,48
IL,0.5950851229663079,0.22,0.1,0.4,611,48
MB,0.4740703046854719,0.22,0.1,0.4,611,48
MF,0.4497237890348358,0.22,0.1,0.4,611,48
IL,0.5948713612017811,0.4,0.1,0.4,612,46
MB,0.6462613332862973,0.4,0.1,0.4,612,46
MF,0.4409106190867956,0.4,0.1,0.4,612,46
IL,0.5944825610121186,0.05,0.2,0.4,613,45
MB,0.4376654575389045,0.05,0.2,0.4,613,45
MF,0.6074755680264121,0.05,0.2,0.4,613,45
IL,0.5951536536106957,0.37,0.1,0.4,614,46
MB,0.5330889815588505,0.37,0.1,0.4,614,46
MF,0.38997151197487306,0.37,0.1,0.4,614,46
IL,0.5950983969404872,0.21,0.2,0.4,615,43
MB,0.500508733122395,0.21,0.2,0.4,615,43
MF,0.5606218664506747,0.21,0.2,0.4,615,43
IL,0.5957333153513152,0.05,0.2,0.4,616,51
MB,0.48752835034790676,0.05,0.2,0.4,616,51
MF,0.6632477212501553,0.05,0.2,0.4,616,51
IL,0.594815022810744,0.81,0.3,0.4,617,47
MB,0.3666795704767154,0.81,0.3,0.4,617,47
MF,0.11986470863686152,0.81,0.3,0.4,617,47
IL,0.5947921716341901,0.43,0.2,0.4,618,45
MB,0.2460493034618187,0.43,0.2,0.4,618,45
MF,0.265419705005309,0.43,0.2,0.4,618,45
IL,0.5952690790113536,0.71,0.1,0.4,619,46
MB,0.6550880044627687,0.71,0.1,0.4,619,46
MF,0.2267857231284418,0.71,0.1,0.4,619,46
IL,0.5944803985725765,0.67,0.2,0.4,620,43
MB,0.47004964436082647,0.67,0.2,0.4,620,43
MF,0.24162220446220445,0.67,0.2,0.4,620,43
IL,0.5950538885075288,0.8,0.3,0.4,621,47
MB,0.42273556893059466,0.8,0.3,0.4,621,47
MF,0.13440821137093664,0.8,0.3,0.4,621,47
IL,0.5952573642405923,0.43,0.2,0.4,622,51
MB,0.46690286002734926,0.43,0.2,0.4,622,51
MF,0.3854530617445395,0.43,0.2,0.4,622,51
IL,0.5956895380276205,0.04,0.1,0.4,623,50
MB,0.594267187714183,0.04,0.1,0.4,623,50
MF,0.6595012647977211,0.04,0.1,0.4,623,50
IL,0.5947251735799943,0.5,0.2,0.4,624,47
MB,0.35804608697444024,0.5,0.2,0.4,624,47
MF,0.27861505271624265,0.5,0.2,0.4,624,47
IL,0.5937356520756842,0.06,0.3,0.4,625,49
MB,0.2151475757575757,0.06,0.3,0.4,625,49
MF,0.49165353495503233,0.06,0.3,0.4,625,49
IL,0.59523994275283,0.36,0.2,0.4,626,47
MB,0.2822241789302365,0.36,0.2,0.4,626,47
MF,0.28893984090587355,0.36,0.2,0.4,626,47
IL,0.5947356278513902,0.04,0.1,0.4,627,44
MB,0.5763291121018577,0.04,0.1,0.4,627,44
MF,0.6513654737742888,0.04,0.1,0.4,627,44
IL,0.5949054429038274,0.08,0.3,0.4,628,51
MB,0.3794367384239281,0.08,0.3,0.4,628,51
MF,0.6174655944519016,0.08,0.3,0.4,628,51
IL,0.5948659415245144,0.42,0.1,0.4,629,50
MB,0.36343264016711047,0.42,0.1,0.4,629,50
MF,0.2815820460781493,0.42,0.1,0.4,629,50
IL,0.5949167225869842,0.42,0.1,0.4,630,44
MB,0.5127938462143078,0.42,0.1,0.4,630,44
MF,0.3433624880675155,0.42,0.1,0.4,630,44
IL,0.595140159359661,0.66,0.1,0.4,631,42
MB,0.491690200312318,0.66,0.1,0.4,631,42
MF,0.21435578390773222,0.66,0.1,0.4,631,42
IL,0.595132311204791,0.08,0.3,0.4,632,45
MB,0.32976388806204765,0.08,0.3,0.4,632,45
MF,0.5824643173651056,0.08,0.3,0.4,632,45
IL,0.595141193639222,0.96,0.3,0.4,633,43
MB,0.5590999063455327,0.96,0.3,0.4,633,43
MF,0.04541145151015658,0.96,0.3,0.4,633,43
IL,0.5954441030198979,0.2,0.3,0.4,634,49
MB,0.2869853561298609,0.2,0.3,0.4,634,49
MF,0.4749523383905298,0.2,0.3,0.4,634,49
IL,0.5944163934384777,0.0,0.1,0.4,635,44
MB,0.8837994199523486,0.0,0.1,0.4,635,44
MF,0.983459543937391,0.0,0.1,0.4,635,44
IL,0.5950560517779895,0.89,0.1,0.4,636,44
MB,0.4373544033096019,0.89,0.1,0.4,636,44
MF,0.05139915310249605,0.89,0.1,0.4,636,44
IL,0.5952895481329966,0.17,0.1,0.4,637,42
MB,0.5905148803532545,0.17,0.1,0.4,637,42
MF,0.5833754434442799,0.17,0.1,0.4,637,42
IL,0.5953345053024668,0.01,0.2,0.4,638,47
MB,0.673103991101408,0.01,0.2,0.4,638,47
MF,0.8683475708664071,0.01,0.2,0.4,638,47
IL,0.5953329138407607,0.33,0.1,0.4,639,44
MB,0.7377640250678869,0.33,0.1,0.4,639,44
MF,0.5424033189525104,0.33,0.1,0.4,639,44
IL,0.5949451571213454,0.31,0.3,0.4,640,49
MB,0.3625709038223822,0.31,0.3,0.4,640,49
MF,0.44824995730622125,0.31,0.3,0.4,640,49
IL,0.5952830290349134,0.79,0.3,0.4,641,45
MB,0.450562475498668,0.79,0.3,0.4,641,45
MF,0.1466304718490778,0.79,0.3,0.4,641,45
IL,0.5951369438871393,0.79,0.3,0.4,642,51
MB,0.46791037655427015,0.79,0.3,0.4,642,51
MF,0.14505952553617016,0.79,0.3,0.4,642,51
IL,0.5947017187297648,0.89,0.1,0.4,643,50
MB,0.46163516752267825,0.89,0.1,0.4,643,50
MF,0.06073012015922155,0.89,0.1,0.4,643,50
IL,0.5953400728953016,0.33,0.1,0.4,644,50
MB,0.5679173681618132,0.33,0.1,0.4,644,50
MF,0.42741036183362513,0.33,0.1,0.4,644,50
IL,0.5957184238607084,0.0,0.1,0.4,645,50
MB,0.8692084169183165,0.0,0.1,0.4,645,50
MF,0.968642440646006,0.0,0.1,0.4,645,50
IL,0.5950364735409339,0.77,0.3,0.4,646,49
MB,0.5696125551908243,0.77,0.3,0.4,646,49
MF,0.19055432864547672,0.77,0.3,0.4,646,49
IL,0.5948987774594603,0.85,0.3,0.4,647,45
MB,0.4682634970738613,0.85,0.3,0.4,647,45
MF,0.10441559153212214,0.85,0.3,0.4,647,45
IL,0.5948015116600543,0.51,0.1,0.4,648,42
MB,0.5845918303234517,0.51,0.1,0.4,648,42
MF,0.3291723261207317,0.51,0.1,0.4,648,42
IL,0.5947651162279162,0.47,0.2,0.4,649,47
MB,0.41618324214765234,0.47,0.2,0.4,649,47
MF,0.32760086627647067,0.47,0.2,0.4,649,47
IL,0.5951345264295227,0.87,0.1,0.4,650,48
MB,0.7095850201606246,0.87,0.1,0.4,650,48
MF,0.1048690027577427,0.87,0.1,0.4,650,48
IL,0.5956311003243606,0.75,0.1,0.4,651,44
MB,0.7325359914061988,0.75,0.1,0.4,651,44
MF,0.21763918723175688,0.75,0.1,0.4,651,44
IL,0.5955952295132215,0.75,0.1,0.4,652,50
MB,0.5960751810110535,0.75,0.1,0.4,652,50
MF,0.18163652351149862,0.75,0.1,0.4,652,50
IL,0.5948372066197521,1.0,0.2,0.4,653,49
MB,0.6524579272842367,1.0,0.2,0.4,653,49
MF,0.008534312163344422,1.0,0.2,0.4,653,49
IL,0.5950485877266598,0.85,0.3,0.4,654,51
MB,0.5159076189082236,0.85,0.3,0.4,654,51
MF,0.131007751153951,0.85,0.3,0.4,654,51
IL,0.5952018548550564,0.32,0.2,0.4,655,51
MB,0.5011478157119593,0.32,0.2,0.4,655,51
MF,0.4912342368972811,0.32,0.2,0.4,655,51
IL,0.5952696949930698,0.88,0.2,0.4,656,51
MB,0.5467485082989187,0.88,0.2,0.4,656,51
MF,0.10054642468126988,0.88,0.2,0.4,656,51
IL,0.5952809813246683,0.1,0.2,0.4,657,51
MB,0.38376054778829505,0.1,0.2,0.4,657,51
MF,0.5356610013437562,0.1,0.2,0.4,657,51
IL,0.5949927068730823,0.1,0.2,0.4,658,45
MB,0.4805800307609165,0.1,0.2,0.4,658,45
MF,0.6142118849074457,0.1,0.2,0.4,658,45
IL,0.5950206156120951,0.16,0.2,0.4,659,43
MB,0.4420324096144654,0.16,0.2,0.4,659,43
MF,0.5429855493149878,0.16,0.2,0.4,659,43
IL,0.5952241047889681,0.32,0.2,0.4,660,45
MB,0.45139988671136017,0.32,0.2,0.4,660,45
MF,0.45390425675671214,0.32,0.2,0.4,660,45
IL,0.5946686118614113,0.88,0.2,0.4,661,45
MB,0.4894444212023305,0.88,0.2,0.4,661,45
MF,0.09277446524235998,0.88,0.2,0.4,661,45
IL,0.5952479597278206,0.74,0.2,0.4,662,51
MB,0.6542038926658,0.74,0.2,0.4,662,51
MF,0.22807020527652427,0.74,0.2,0.4,662,51
IL,0.595043112519005,0.74,0.2,0.4,663,45
MB,0.6650827286214047,0.74,0.2,0.4,663,45
MF,0.23840158561746227,0.74,0.2,0.4,663,45
IL,0.5951261666182612,0.86,0.2,0.4,664,49
MB,0.5396876071851355,0.86,0.2,0.4,664,49
MF,0.12386731771850591,0.86,0.2,0.4,664,49
IL,0.5942910267911033,0.46,0.1,0.4,665,46
MB,0.31234362565192175,0.46,0.1,0.4,665,46
MF,0.2122711399074868,0.46,0.1,0.4,665,46
IL,0.5948601931729434,0.86,0.2,0.4,666,48
MB,0.43692044661302637,0.86,0.2,0.4,666,48
MF,0.06796518337834984,0.86,0.2,0.4,666,48
IL,0.5947005713384134,0.46,0.1,0.4,667,47
MB,0.31260529839397533,0.46,0.1,0.4,667,47
MF,0.2335623963048517,0.46,0.1,0.4,667,47
IL,0.5951204857236364,0.74,0.2,0.4,668,44
MB,0.6108737501186945,0.74,0.2,0.4,668,44
MF,0.2071985755496952,0.74,0.2,0.4,668,44
IL,0.5951028542066964,0.74,0.2,0.4,669,50
MB,0.6228443402364,0.74,0.2,0.4,669,50
MF,0.211664671703995,0.74,0.2,0.4,669,50
IL,0.5953212501861548,0.1,0.2,0.4,670,44
MB,0.5094560415175676,0.1,0.2,0.4,670,44
MF,0.6385157279160885,0.1,0.2,0.4,670,44
IL,0.5951743215463587,0.88,0.2,0.4,671,44
MB,0.4573530428050267,0.88,0.2,0.4,671,44
MF,0.0809671241809854,0.88,0.2,0.4,671,44
IL,0.5947703214614534,0.32,0.2,0.4,672,44
MB,0.25452590811319137,0.32,0.2,0.4,672,44
MF,0.3144789933416203,0.32,0.2,0.4,672,44
IL,0.5948347335659898,0.16,0.2,0.4,673,42
MB,0.30458346127777636,0.16,0.2,0.4,673,42
MF,0.4297999191227537,0.16,0.2,0.4,673,42
IL,0.5951337012847685,0.88,0.2,0.4,674,50
MB,0.47182711968918,0.88,0.2,0.4,674,50
MF,0.09035614885802193,0.88,0.2,0.4,674,50
IL,0.5953825914270017,0.32,0.2,0.4,675,50
MB,0.48240023490236655,0.32,0.2,0.4,675,50
MF,0.4429291939180032,0.32,0.2,0.4,675,50
IL,0.5946656493656967,0.1,0.2,0.4,676,50
MB,0.4123251221209961,0.1,0.2,0.4,676,50
MF,0.561548060285749,0.1,0.2,0.4,676,50
IL,0.594739682789195,0.85,0.3,0.4,677,50
MB,0.3061554960737303,0.85,0.3,0.4,677,50
MF,0.08253780604934619,0.85,0.3,0.4,677,50
IL,0.5952747428541897,1.0,0.2,0.4,678,48
MB,0.5742431009425021,1.0,0.2,0.4,678,48
MF,-0.01836853997018268,1.0,0.2,0.4,678,48
IL,0.5954609490296395,0.75,0.1,0.4,679,51
MB,0.7135382620222707,0.75,0.1,0.4,679,51
MF,0.1999827127150136,0.75,0.1,0.4,679,51
IL,0.5953177912153702,0.75,0.1,0.4,680,45
MB,0.5769915788258251,0.75,0.1,0.4,680,45
MF,0.1671245927484259,0.75,0.1,0.4,680,45
IL,0.5951697344538608,0.47,0.2,0.4,681,46
MB,0.5813122503590699,0.47,0.2,0.4,681,46
MF,0.408782634387071,0.47,0.2,0.4,681,46
IL,0.5951003386647495,0.87,0.1,0.4,682,49
MB,0.6145385129359276,0.87,0.1,0.4,682,49
MF,0.07165549310127622,0.87,0.1,0.4,682,49
IL,0.595197010745636,0.51,0.1,0.4,683,43
MB,0.6031711041272693,0.51,0.1,0.4,683,43
MF,0.35784197517242267,0.51,0.1,0.4,683,43
IL,0.594880385727962,0.85,0.3,0.4,684,44
MB,0.5140541387696824,0.85,0.3,0.4,684,44
MF,0.0950406587048054,0.85,0.3,0.4,684,44
IL,0.5949914056037727,0.77,0.3,0.4,685,48
MB,0.5708134069540259,0.77,0.3,0.4,685,48
MF,0.22597822780561436,0.77,0.3,0.4,685,48
IL,0.5949017804740308,0.33,0.1,0.4,686,51
MB,0.3954705272085825,0.33,0.1,0.4,686,51
MF,0.3536723676538097,0.33,0.1,0.4,686,51
IL,0.5951346124548706,0.89,0.1,0.4,687,51
MB,0.5526934614904215,0.89,0.1,0.4,687,51
MF,0.0835492253434951,0.89,0.1,0.4,687,51
IL,0.5949014346978577,0.79,0.3,0.4,688,50
MB,0.505216006044582,0.79,0.3,0.4,688,50
MF,0.18390253331420212,0.79,0.3,0.4,688,50
IL,0.5952348757908758,0.0,0.1,0.4,689,51
MB,0.8795971099312092,0.0,0.1,0.4,689,51
MF,0.9794915376748667,0.0,0.1,0.4,689,51
IL,0.5953917748917749,0.0,0.1,0.4,690,45
MB,0.8882822922271932,0.0,0.1,0.4,690,45
MF,0.9879113994160965,0.0,0.1,0.4,690,45
IL,0.5949128202707243,0.2,0.3,0.4,691,48
MB,0.3626047841451463,0.2,0.3,0.4,691,48
MF,0.5128973821859245,0.2,0.3,0.4,691,48
IL,0.5950431771536049,0.79,0.3,0.4,692,44
MB,0.539817388776205,0.79,0.3,0.4,692,44
MF,0.18126072493210263,0.79,0.3,0.4,692,44
IL,0.5951100184824178,0.31,0.3,0.4,693,48
MB,0.2927950775500654,0.31,0.3,0.4,693,48
MF,0.403650588840451,0.31,0.3,0.4,693,48
IL,0.594924450902039,0.33,0.1,0.4,694,45
MB,0.42149178964190487,0.33,0.1,0.4,694,45
MF,0.3549099651405433,0.33,0.1,0.4,694,45
IL,0.5941937182423715,0.01,0.2,0.4,695,46
MB,0.556756578700021,0.01,0.2,0.4,695,46
MF,0.7410827895149331,0.01,0.2,0.4,695,46
IL,0.595286248724632,0.17,0.1,0.4,696,43
MB,0.6562858456794373,0.17,0.1,0.4,696,43
MF,0.6316930876189707,0.17,0.1,0.4,696,43
IL,0.5949532057847146,0.89,0.1,0.4,697,45
MB,0.6103658925035884,0.89,0.1,0.4,697,45
MF,0.06951813693120946,0.89,0.1,0.4,697,45
IL,0.5951712030001528,0.96,0.3,0.4,698,42
MB,0.5738569683561823,0.96,0.3,0.4,698,42
MF,0.051483390706945374,0.96,0.3,0.4,698,42
IL,0.595205830305648,0.08,0.3,0.4,699,44
MB,0.39882452236652227,0.08,0.3,0.4,699,44
MF,0.6385013771913843,0.08,0.3,0.4,699,44
IL,0.595304653335714,0.66,0.1,0.4,700,43
MB,0.7079450807877928,0.66,0.1,0.4,700,43
MF,0.27668969450787867,0.66,0.1,0.4,700,43
IL,0.5947050057683342,0.42,0.1,0.4,701,45
MB,0.34190918237360685,0.42,0.1,0.4,701,45
MF,0.26976252355530417,0.42,0.1,0.4,701,45
IL,0.5949985786401959,0.42,0.1,0.4,702,51
MB,0.5548786275960326,0.42,0.1,0.4,702,51
MF,0.38539093601647506,0.42,0.1,0.4,702,51
IL,0.5941347119370605,0.08,0.3,0.4,703,50
MB,0.3122228872424024,0.08,0.3,0.4,703,50
MF,0.5572029476648878,0.08,0.3,0.4,703,50
IL,0.5949827891772012,0.5,0.2,0.4,704,46
MB,0.3351606640754158,0.5,0.2,0.4,704,46
MF,0.2742949037860309,0.5,0.2,0.4,704,46
IL,0.5953061984929415,0.04,0.1,0.4,705,45
MB,0.7235860738689867,0.04,0.1,0.4,705,45
MF,0.7910312505464675,0.04,0.1,0.4,705,45
IL,0.595257399646256,0.36,0.2,0.4,706,46
MB,0.5869127134741521,0.36,0.2,0.4,706,46
MF,0.5065323012705647,0.36,0.2,0.4,706,46
IL,0.5955366806541534,0.06,0.3,0.4,707,48
MB,0.3693157100060968,0.06,0.3,0.4,707,48
MF,0.6399029380976375,0.06,0.3,0.4,707,48
IL,0.5937177413425483,0.04,0.1,0.4,708,51
MB,0.4120695491885691,0.04,0.1,0.4,708,51
MF,0.48870013742747204,0.04,0.1,0.4,708,51
IL,0.5949547793693475,0.43,0.2,0.4,709,50
MB,0.43509506083653543,0.43,0.2,0.4,709,50
MF,0.35575895414303577,0.43,0.2,0.4,709,50
IL,0.595148167899858,0.67,0.2,0.4,710,42
MB,0.6229132222060064,0.67,0.2,0.4,710,42
MF,0.2676808616653086,0.67,0.2,0.4,710,42
IL,0.5953618336524157,0.71,0.1,0.4,711,47
MB,0.5652609542121999,0.71,0.1,0.4,711,47
MF,0.2053956026321115,0.71,0.1,0.4,711,47
IL,0.5951201105302872,0.43,0.2,0.4,712,44
MB,0.6153551035176902,0.43,0.2,0.4,712,44
MF,0.46051581579367257,0.43,0.2,0.4,712,44
IL,0.5947637198548755,0.81,0.3,0.4,713,46
MB,0.3720908080067601,0.81,0.3,0.4,713,46
MF,0.12936043754692475,0.81,0.3,0.4,713,46
IL,0.5950545059098553,0.8,0.3,0.4,714,46
MB,0.3816846028420783,0.8,0.3,0.4,714,46
MF,0.13932953571207546,0.8,0.3,0.4,714,46
IL,0.594836882672539,0.05,0.2,0.4,715,50
MB,0.4864387841312228,0.05,0.2,0.4,715,50
MF,0.6559511075517519,0.05,0.2,0.4,715,50
IL,0.5953742393226479,0.4,0.1,0.4,716,47
MB,0.65279127616618,0.4,0.1,0.4,716,47
MF,0.4268343800141438,0.4,0.1,0.4,716,47
IL,0.5952691709046483,0.21,0.2,0.4,717,42
MB,0.3964428488524175,0.21,0.2,0.4,717,42
MF,0.47998393466712785,0.21,0.2,0.4,717,42
IL,0.5948458127071582,0.37,0.1,0.4,718,47
MB,0.44802853193195336,0.37,0.1,0.4,718,47
MF,0.34094813423072096,0.37,0.1,0.4,718,47
IL,0.5951245936842804,0.05,0.2,0.4,719,44
MB,0.49183219283288326,0.05,0.2,0.4,719,44
MF,0.6480185187419113,0.05,0.2,0.4,719,44
IL,0.5949799428022957,0.22,0.1,0.4,720,49
MB,0.3472299288135942,0.22,0.1,0.4,720,49
MF,0.3538656477971352,0.22,0.1,0.4,720,49
IL,0.5942642287537024,0.58,0.2,0.4,721,46
MB,0.1529392224307732,0.58,0.2,0.4,721,46
MF,0.15259134439166297,0.58,0.2,0.4,721,46
IL,0.5949928012546613,0.98,0.1,0.4,722,49
MB,0.2479712376046564,0.98,0.1,0.4,722,49
MF,0.025995171693005095,0.98,0.1,0.4,722,49
IL,0.5948964474429529,0.68,0.3,0.4,723,48
MB,0.45032473494627734,0.68,0.3,0.4,723,48
MF,0.2502427867638275,0.68,0.3,0.4,723,48
IL,0.5955338444888444,0.04,0.3,0.4,724,42
MB,0.32825998504711656,0.04,0.3,0.4,724,42
MF,0.5971281274116028,0.04,0.3,0.4,724,42
IL,0.5951756076209177,0.94,0.3,0.4,725,48
MB,0.42320768900991507,0.94,0.3,0.4,725,48
MF,0.04358639208161755,0.94,0.3,0.4,725,48
IL,0.5950864625876052,0.66,0.3,0.4,726,44
MB,0.49511209597759853,0.66,0.3,0.4,726,44
MF,0.2866570825645053,0.66,0.3,0.4,726,44
IL,0.5950053145898394,0.42,0.3,0.4,727,42
MB,0.3889783957301011,0.42,0.3,0.4,727,42
MF,0.4034870460266925,0.42,0.3,0.4,727,42
IL,0.5946889381761239,0.08,0.1,0.4,728,43
MB,0.6057053021064819,0.08,0.1,0.4,728,43
MF,0.6441016756472158,0.08,0.1,0.4,728,43
IL,0.5945819404301977,0.64,0.1,0.4,729,49
MB,0.4341006516057265,0.64,0.1,0.4,729,49
MF,0.17942666913844552,0.64,0.1,0.4,729,49
IL,0.5950746151917686,0.96,0.1,0.4,730,45
MB,0.5848183595696652,0.96,0.1,0.4,730,45
MF,0.021706621389817788,0.96,0.1,0.4,730,45
IL,0.5946416008933141,0.96,0.1,0.4,731,51
MB,0.5316261460650296,0.96,0.1,0.4,731,51
MF,0.034818146286833294,0.96,0.1,0.4,731,51
IL,0.5950552522287271,0.66,0.3,0.4,732,50
MB,0.4547516543874618,0.66,0.3,0.4,732,50
MF,0.2578988473061411,0.66,0.3,0.4,732,50
IL,0.595178959620593,0.13,0.3,0.4,733,46
MB,0.2981028402769658,0.13,0.3,0.4,733,46
MF,0.5299058653267236,0.13,0.3,0.4,733,46
IL,0.595160242528746,0.99,0.2,0.4,734,48
MB,0.6344330007058951,0.99,0.2,0.4,734,48
MF,0.026808761294309178,0.99,0.2,0.4,734,48
IL,0.5951802015509661,0.59,0.1,0.4,735,47
MB,0.550154525684341,0.59,0.1,0.4,735,47
MF,0.2764038125995324,0.59,0.1,0.4,735,47
IL,0.5950020155511123,0.23,0.2,0.4,736,48
MB,0.4207405156641917,0.23,0.2,0.4,736,48
MF,0.47263027240364675,0.23,0.2,0.4,736,48
IL,0.5952108353551444,0.97,0.2,0.4,737,50
MB,0.5866066072873782,0.97,0.2,0.4,737,50
MF,-0.012287316017316018,0.97,0.2,0.4,737,50
IL,0.5951684288236325,0.97,0.2,0.4,738,44
MB,0.6815673240529614,0.97,0.2,0.4,738,44
MF,0.04028515676242948,0.97,0.2,0.4,738,44
IL,0.5948052128993185,0.65,0.2,0.4,739,48
MB,0.42382919525590435,0.65,0.2,0.4,739,48
MF,0.20563829980267861,0.65,0.2,0.4,739,48
IL,0.5944464813305863,0.09,0.2,0.4,740,42
MB,0.4445958125070515,0.09,0.2,0.4,740,42
MF,0.5990848511343903,0.09,0.2,0.4,740,42
IL,0.5952238854531159,0.55,0.3,0.4,741,46
MB,0.4257209736226456,0.55,0.3,0.4,741,46
MF,0.3227809922524523,0.55,0.3,0.4,741,46
IL,0.5949465686007332,0.78,0.2,0.4,742,42
MB,0.5245398261038129,0.78,0.2,0.4,742,42
MF,0.1539222601612584,0.78,0.2,0.4,742,42
IL,0.5946454672372228,0.14,0.2,0.4,743,48
MB,0.22333583431154333,0.14,0.2,0.4,743,48
MF,0.3679597765056004,0.14,0.2,0.4,743,48
IL,0.5947459443906458,0.24,0.3,0.4,744,46
MB,0.25617566416843296,0.24,0.3,0.4,744,46
MF,0.42213549885323054,0.24,0.3,0.4,744,46
IL,0.5948259215339669,0.62,0.3,0.4,745,46
MB,0.3833962504478636,0.62,0.3,0.4,745,46
MF,0.25344139999418086,0.62,0.3,0.4,745,46
IL,0.5946249279619966,0.92,0.1,0.4,746,47
MB,0.5105502130357426,0.92,0.1,0.4,746,47
MF,0.03764230684348331,0.92,0.1,0.4,746,47
IL,0.5953068323944147,0.52,0.2,0.4,747,48
MB,0.6247360068425827,0.52,0.2,0.4,747,48
MF,0.4296252816247231,0.52,0.2,0.4,747,48
IL,0.5950233253269205,0.84,0.2,0.4,748,42
MB,0.5443683691449328,0.84,0.2,0.4,748,42
MF,0.10960519686893921,0.84,0.2,0.4,748,42
IL,0.5950290768340467,0.28,0.1,0.4,749,47
MB,0.45094667291998913,0.28,0.1,0.4,749,47
MF,0.3925735510696479,0.28,0.1,0.4,749,47
IL,0.5950136794501741,0.17,0.3,0.4,750,50
MB,0.34627224641491156,0.17,0.3,0.4,750,50
MF,0.5537191936511427,0.17,0.3,0.4,750,50
IL,0.5949548779204836,0.89,0.3,0.4,751,42
MB,0.6005407873244267,0.89,0.3,0.4,751,42
MF,0.12031083472222978,0.89,0.3,0.4,751,42
IL,0.5952031706382389,0.33,0.3,0.4,752,42
MB,0.2945162424599823,0.33,0.3,0.4,752,42
MF,0.40339135226466616,0.33,0.3,0.4,752,42
IL,0.5947801250304828,0.17,0.3,0.4,753,44
MB,0.06667258719507604,0.17,0.3,0.4,753,44
MF,0.2992254075176239,0.17,0.3,0.4,753,44
IL,0.5948420593793078,0.15,0.1,0.4,754,49
MB,0.5354876539967767,0.15,0.1,0.4,754,49
MF,0.5461794489660945,0.15,0.1,0.4,754,49
IL,0.5951640431567782,0.79,0.1,0.4,755,43
MB,0.5020339409806006,0.79,0.1,0.4,755,43
MF,0.1242979405049462,0.79,0.1,0.4,755,43
IL,0.5948995771904863,0.0,0.3,0.4,756,42
MB,0.6925615446863921,0.0,0.3,0.4,756,42
MF,0.9891411369436204,0.0,0.3,0.4,756,42
IL,0.5950509133162329,0.51,0.3,0.4,757,50
MB,0.38429053330576324,0.51,0.3,0.4,757,50
MF,0.33147689311598943,0.51,0.3,0.4,757,50
IL,0.5951741087999888,0.29,0.2,0.4,758,46
MB,0.45296640140865363,0.29,0.2,0.4,758,46
MF,0.46541367368853725,0.29,0.2,0.4,758,46
IL,0.594671817005425,0.53,0.1,0.4,759,49
MB,0.6807907730800598,0.53,0.1,0.4,759,49
MF,0.3722322051920361,0.53,0.1,0.4,759,49
IL,0.5947811435806251,0.93,0.2,0.4,760,46
MB,0.3041585408294933,0.93,0.2,0.4,760,46
MF,0.024088871550033846,0.93,0.2,0.4,760,46
IL,0.595137311540188,0.85,0.1,0.4,761,43
MB,0.548970589446243,0.85,0.1,0.4,761,43
MF,0.10723417229678149,0.85,0.1,0.4,761,43
IL,0.5950897036290306,0.75,0.3,0.4,762,42
MB,0.44886875138869725,0.75,0.3,0.4,762,42
MF,0.17710226892451678,0.75,0.3,0.4,762,42
IL,0.5950117666563594,0.51,0.3,0.4,763,44
MB,0.3929353883848944,0.51,0.3,0.4,763,44
MF,0.32359946158281966,0.51,0.3,0.4,763,44
IL,0.5948651743737235,0.19,0.3,0.4,764,48
MB,0.2745929894402629,0.19,0.3,0.4,764,48
MF,0.4539821957500469,0.19,0.3,0.4,764,48
IL,0.5950245154121895,0.73,0.2,0.4,765,50
MB,0.48796556131750984,0.73,0.2,0.4,765,50
MF,0.19675826261123666,0.73,0.2,0.4,765,50
IL,0.5951850394609234,0.8,0.2,0.4,766,48
MB,0.524767462993663,0.8,0.2,0.4,766,48
MF,0.13808161749082842,0.8,0.2,0.4,766,48
IL,0.5948834184737738,0.73,0.2,0.4,767,44
MB,0.4002190828060042,0.73,0.2,0.4,767,44
MF,0.18239676053280712,0.73,0.2,0.4,767,44
IL,0.5952366423363422,0.81,0.2,0.4,768,48
MB,0.6397586008118034,0.81,0.2,0.4,768,48
MF,0.15282727392863077,0.81,0.2,0.4,768,48
IL,0.5948910366011697,0.41,0.1,0.4,769,47
MB,0.43425750074969693,0.41,0.1,0.4,769,47
MF,0.3092051459167091,0.41,0.1,0.4,769,47
IL,0.5948370120276317,0.57,0.2,0.4,770,42
MB,0.37850994534025595,0.57,0.2,0.4,770,42
MF,0.23701684409121454,0.57,0.2,0.4,770,42
IL,0.5951698503109794,0.6,0.2,0.4,771,50
MB,0.4593780254167669,0.6,0.2,0.4,771,50
MF,0.25770117420326794,0.6,0.2,0.4,771,50
IL,0.5949519208613122,0.35,0.2,0.4,772,50
MB,0.18956185103109732,0.35,0.2,0.4,772,50
MF,0.24673980706033627,0.35,0.2,0.4,772,50
IL,0.5953088004659296,0.35,0.2,0.4,773,44
MB,0.4533083958410236,0.35,0.2,0.4,773,44
MF,0.45217878997745975,0.35,0.2,0.4,773,44
IL,0.595722798755729,0.07,0.1,0.4,774,47
MB,0.6206733225037946,0.07,0.1,0.4,774,47
MF,0.66708458937209,0.07,0.1,0.4,774,47
IL,0.5953044820501342,0.11,0.2,0.4,775,42
MB,0.5376591032539796,0.11,0.2,0.4,775,42
MF,0.6846947032416545,0.11,0.2,0.4,775,42
IL,0.594461834007111,0.6,0.2,0.4,776,44
