strategy,avg_payoff,delta,lambda,kappa,sim,seed
IL,0.5950070104406207,0.09,0.2,0.4,34,46
MB,0.3997354603400836,0.09,0.2,0.4,34,46
MF,0.5342295828520761,0.09,0.2,0.4,34,46
IL,0.5951012038642471,0.81,0.1,0.4,35,45
MB,0.586406469018668,0.81,0.1,0.4,35,45
MF,0.12656643702127385,0.81,0.1,0.4,35,45
IL,0.594915792298386,0.73,0.1,0.4,36,49
MB,0.6573998236674425,0.73,0.1,0.4,36,49
MF,0.20791117327117326,0.73,0.1,0.4,36,49
IL,0.5954458509395547,0.8,0.1,0.4,37,45
MB,0.6462650464777356,0.8,0.1,0.4,37,45
MF,0.15800864870423692,0.8,0.1,0.4,37,45
IL,0.5947804723046876,0.8,0.1,0.4,38,51
MB,0.49210238953040186,0.8,0.1,0.4,38,51
MF,0.09267624796345825,0.8,0.1,0.4,38,51
IL,0.5957235663159651,0.81,0.1,0.4,39,51
MB,0.6610010111530737,0.81,0.1,0.4,39,51
MF,0.1319147548088583,0.81,0.1,0.4,39,51
IL,0.5951124880850154,0.71,0.3,0.4,40,50
MB,0.5511887648177319,0.71,0.3,0.4,40,50
MF,0.20961330673361964,0.71,0.3,0.4,40,50
IL,0.5951639229925499,0.7,0.2,0.4,41,48
MB,0.557002048427792,0.7,0.2,0.4,41,48
MF,0.198951654485857,0.7,0.2,0.4,41,48
IL,0.5952615112741613,0.04,0.3,0.4,42,46
MB,0.5080135362836113,0.04,0.3,0.4,42,46
MF,0.7820866832942605,0.04,0.3,0.4,42,46
IL,0.5947112387323634,0.58,0.2,0.4,43,42
MB,0.3698870781113907,0.58,0.2,0.4,43,42
MF,0.2337616658576594,0.58,0.2,0.4,43,42
IL,0.594986678177519,0.34,0.2,0.4,44,48
MB,0.41874252869833656,0.34,0.2,0.4,44,48
MF,0.4090365161139564,0.34,0.2,0.4,44,48
IL,0.5947661239656723,0.9,0.2,0.4,45,50
MB,0.41677107777011896,0.9,0.2,0.4,45,50
MF,0.05774900911932268,0.9,0.2,0.4,45,50
IL,0.5953520681309951,0.72,0.2,0.4,46,48
MB,0.5220810521492489,0.72,0.2,0.4,46,48
MF,0.16674511385759064,0.72,0.2,0.4,46,48
IL,0.5950239532255865,0.08,0.1,0.4,47,47
MB,0.611973543134478,0.08,0.1,0.4,47,47
MF,0.6653068728547498,0.08,0.1,0.4,47,47
IL,0.594916773520835,0.42,0.3,0.4,48,46
MB,0.3018647085453596,0.42,0.3,0.4,48,46
MF,0.3285894240865074,0.42,0.3,0.4,48,46
IL,0.5951952017668516,0.9,0.2,0.4,49,44
MB,0.5938269897670088,0.9,0.2,0.4,49,44
MF,0.07916972990537302,0.9,0.2,0.4,49,44
IL,0.5950380063835651,0.8,0.3,0.4,50,42
MB,0.4908001161572167,0.8,0.3,0.4,50,42
MF,0.1477781039860501,0.8,0.3,0.4,50,42
IL,0.5949774492083406,0.81,0.3,0.4,51,42
MB,0.2613781754208695,0.81,0.3,0.4,51,42
MF,0.09193393631840215,0.81,0.3,0.4,51,42
IL,0.5948982934429199,0.57,0.3,0.4,52,48
MB,0.4144426847948882,0.57,0.3,0.4,52,48
MF,0.3154209043575651,0.57,0.3,0.4,52,48
IL,0.594858136779667,0.67,0.2,0.4,53,46
MB,0.2996069289385795,0.67,0.2,0.4,53,46
MF,0.1692147981946915,0.67,0.2,0.4,53,46
IL,0.5945614685314685,0.55,0.1,0.4,54,45
MB,0.5129068014216565,0.55,0.1,0.4,54,45
MF,0.28151023453237717,0.55,0.1,0.4,54,45
IL,0.5946064872201722,0.71,0.1,0.4,55,43
MB,0.41328983604202996,0.71,0.1,0.4,55,43
MF,0.16393933934516866,0.71,0.1,0.4,55,43
IL,0.5947899285201922,0.55,0.1,0.4,56,51
MB,0.36071798571930985,0.55,0.1,0.4,56,51
MF,0.1937372764320262,0.55,0.1,0.4,56,51
IL,0.5952321026797177,0.21,0.2,0.4,57,46
MB,0.400142896604835,0.21,0.2,0.4,57,46
MF,0.4566855942430516,0.21,0.2,0.4,57,46
IL,0.5944608074023662,0.13,0.1,0.4,58,45
MB,0.47347002117676057,0.13,0.1,0.4,58,45
MF,0.49960887364613044,0.13,0.1,0.4,58,45
IL,0.5946875591784133,0.37,0.1,0.4,59,43
MB,0.33837449684701926,0.37,0.1,0.4,59,43
MF,0.29205869780947247,0.37,0.1,0.4,59,43
IL,0.5951804408686518,0.59,0.3,0.4,60,44
MB,0.4969759186043993,0.59,0.3,0.4,60,44
MF,0.3225814101705944,0.59,0.3,0.4,60,44
IL,0.5952864424954046,0.11,0.3,0.4,61,48
MB,0.4013751008711044,0.11,0.3,0.4,61,48
MF,0.6211513048212334,0.11,0.3,0.4,61,48
IL,0.5947455654288728,0.4,0.1,0.4,62,43
MB,0.5048788409261725,0.4,0.1,0.4,62,43
MF,0.37461464113386683,0.4,0.1,0.4,62,43
IL,0.5951752582851947,0.59,0.3,0.4,63,50
MB,0.5201577528427044,0.59,0.3,0.4,63,50
MF,0.33338321009647665,0.59,0.3,0.4,63,50
IL,0.5947907931727715,0.13,0.1,0.4,64,51
MB,0.3516851060538899,0.13,0.1,0.4,64,51
MF,0.38190510472418826,0.13,0.1,0.4,64,51
IL,0.5949026402264243,0.54,0.2,0.4,65,50
MB,0.25554859442418604,0.54,0.2,0.4,65,50
MF,0.20920496853578016,0.54,0.2,0.4,65,50
IL,0.595071073323788,0.54,0.2,0.4,66,44
MB,0.4153440261115604,0.54,0.2,0.4,66,44
MF,0.271842400668011,0.54,0.2,0.4,66,44
IL,0.5951682122641341,0.66,0.1,0.4,67,47
MB,0.5137242023923413,0.66,0.1,0.4,67,47
MF,0.2002831886707017,0.66,0.1,0.4,67,47
IL,0.5950656681195557,0.96,0.3,0.4,68,46
MB,0.5945883305583305,0.96,0.3,0.4,68,46
MF,0.03582114645599287,0.96,0.3,0.4,68,46
IL,0.595105217172161,0.12,0.2,0.4,69,50
MB,0.45305401145650115,0.12,0.2,0.4,69,50
MF,0.5665637919578755,0.12,0.2,0.4,69,50
IL,0.5947328561721114,0.12,0.2,0.4,70,44
MB,0.33379531089457254,0.12,0.2,0.4,70,44
MF,0.4759386674248457,0.12,0.2,0.4,70,44
IL,0.5947732647216678,0.36,0.2,0.4,71,42
MB,0.389664402937984,0.36,0.2,0.4,71,42
MF,0.37983800835190973,0.36,0.2,0.4,71,42
IL,0.5948393383283854,0.5,0.2,0.4,72,42
MB,0.2684092517133721,0.5,0.2,0.4,72,42
MF,0.22086870725759114,0.5,0.2,0.4,72,42
IL,0.5950250434698525,0.47,0.2,0.4,73,42
MB,0.455307989649128,0.47,0.2,0.4,73,42
MF,0.33749558116747114,0.47,0.2,0.4,73,42
IL,0.5952392339431535,0.63,0.2,0.4,74,44
MB,0.45967980462730496,0.63,0.2,0.4,74,44
MF,0.2460964611881951,0.63,0.2,0.4,74,44
IL,0.5952070779830487,0.91,0.2,0.4,75,48
MB,0.49104525558658024,0.91,0.2,0.4,75,48
MF,0.05595146130387081,0.91,0.2,0.4,75,48
IL,0.5948451031959533,0.51,0.1,0.4,76,47
MB,0.3929300844409775,0.51,0.1,0.4,76,47
MF,0.23835174391502073,0.51,0.1,0.4,76,47
IL,0.5950340866008559,0.63,0.2,0.4,77,50
MB,0.25539478037848135,0.63,0.2,0.4,77,50
MF,0.15871491578393204,0.63,0.2,0.4,77,50
IL,0.5954629754621024,0.01,0.2,0.4,78,42
MB,0.7460938584804118,0.01,0.2,0.4,78,42
MF,0.9384991843993179,0.01,0.2,0.4,78,42
IL,0.5950089626183543,0.25,0.2,0.4,79,44
MB,0.40560086526190364,0.25,0.2,0.4,79,44
MF,0.4509578580562246,0.25,0.2,0.4,79,44
IL,0.5948650297754571,0.17,0.1,0.4,80,47
MB,0.5355607344437902,0.17,0.1,0.4,80,47
MF,0.5213705421403397,0.17,0.1,0.4,80,47
IL,0.5950509459393669,0.25,0.2,0.4,81,50
MB,0.4048909099745717,0.25,0.2,0.4,81,50
MF,0.45810152320826847,0.25,0.2,0.4,81,50
IL,0.5951317882670998,0.92,0.3,0.4,82,50
MB,0.6195542578261848,0.92,0.3,0.4,82,50
MF,0.05771810563586779,0.92,0.3,0.4,82,50
IL,0.5952853036589482,0.28,0.3,0.4,83,50
MB,0.3196988620696867,0.28,0.3,0.4,83,50
MF,0.4559343994301201,0.28,0.3,0.4,83,50
IL,0.5949697899896217,0.62,0.1,0.4,84,51
MB,0.7030758428867266,0.62,0.1,0.4,84,51
MF,0.3243656451186662,0.62,0.1,0.4,84,51
IL,0.5948598152016602,0.46,0.1,0.4,85,43
MB,0.4920541143246058,0.46,0.1,0.4,85,43
MF,0.32133443782346083,0.46,0.1,0.4,85,43
IL,0.595070839533016,0.62,0.1,0.4,86,45
MB,0.6547855849235662,0.62,0.1,0.4,86,45
MF,0.27524021645132807,0.62,0.1,0.4,86,45
IL,0.5950396272713135,0.92,0.3,0.4,87,44
MB,0.46735951456061675,0.92,0.3,0.4,87,44
MF,0.05407343093972223,0.92,0.3,0.4,87,44
IL,0.5949722951204144,0.28,0.3,0.4,88,44
MB,0.28360879885198,0.28,0.3,0.4,88,44
MF,0.4238118035977435,0.28,0.3,0.4,88,44
IL,0.5949153018051839,0.24,0.1,0.4,89,51
MB,0.41865726303159373,0.24,0.1,0.4,89,51
MF,0.40195727543620563,0.24,0.1,0.4,89,51
IL,0.5945636173057276,0.26,0.3,0.4,90,48
MB,-0.0061566984887131415,0.26,0.3,0.4,90,48
MF,0.2341289731802231,0.26,0.3,0.4,90,48
IL,0.5951920328443169,0.16,0.2,0.4,91,46
MB,0.4935337321259837,0.16,0.2,0.4,91,46
MF,0.584597503626487,0.16,0.2,0.4,91,46
IL,0.5951365212936812,0.24,0.1,0.4,92,45
MB,0.6791178775328611,0.24,0.1,0.4,92,45
MF,0.5806318175571769,0.24,0.1,0.4,92,45
IL,0.5943844764576536,0.24,0.1,0.4,93,44
MB,0.3883106638814725,0.24,0.1,0.4,93,44
MF,0.38118603828687014,0.24,0.1,0.4,93,44
IL,0.5948222824113384,0.16,0.2,0.4,94,47
MB,0.34281126572300497,0.16,0.2,0.4,94,47
MF,0.4516694620052117,0.16,0.2,0.4,94,47
IL,0.5950859450074817,0.26,0.3,0.4,95,49
MB,0.40157351017960047,0.26,0.3,0.4,95,49
MF,0.4944235408045768,0.26,0.3,0.4,95,49
IL,0.5949836557828136,0.24,0.1,0.4,96,50
MB,0.29216193436206217,0.24,0.1,0.4,96,50
MF,0.28114154010370734,0.24,0.1,0.4,96,50
IL,0.5950574560683116,0.28,0.3,0.4,97,45
MB,0.37470030771600366,0.28,0.3,0.4,97,45
MF,0.4889650066855903,0.28,0.3,0.4,97,45
IL,0.5950271562075116,0.92,0.3,0.4,98,45
MB,0.49119650676808485,0.92,0.3,0.4,98,45
MF,0.07145789360432582,0.92,0.3,0.4,98,45
IL,0.5953086311357735,0.62,0.1,0.4,99,44
MB,0.44878119299658037,0.62,0.1,0.4,99,44
MF,0.20477775257725142,0.62,0.1,0.4,99,44
IL,0.5959335962739238,0.46,0.1,0.4,100,42
MB,0.7406245833028176,0.46,0.1,0.4,100,42
MF,0.4386332572999756,0.46,0.1,0.4,100,42
IL,0.5952840115458979,0.62,0.1,0.4,101,50
MB,0.6996944020311606,0.62,0.1,0.4,101,50
MF,0.29923120371819184,0.62,0.1,0.4,101,50
IL,0.5947362661254694,0.28,0.3,0.4,102,51
MB,0.16801530453064975,0.28,0.3,0.4,102,51
MF,0.3278270911205288,0.28,0.3,0.4,102,51
IL,0.5951195041710243,0.92,0.3,0.4,103,51
MB,0.5295933623957281,0.92,0.3,0.4,103,51
MF,0.06847206048409914,0.92,0.3,0.4,103,51
IL,0.5950609932911709,0.25,0.2,0.4,104,51
MB,0.4772446322220043,0.25,0.2,0.4,104,51
MF,0.5192147733058793,0.25,0.2,0.4,104,51
IL,0.595117093936617,0.17,0.1,0.4,105,46
