strategy,avg_payoff,delta,kappa,seed,sim
IL,0.5950581567675071,0.75,0.4,42,67
MF,0.21442893410430752,0.75,0.4,42,67
IL,0.5949826716973069,0.54,0.4,49,68
MF,0.31935108769209053,0.54,0.4,49,68
IL,0.5950685099619978,0.05,0.4,43,69
MF,0.7553357955279741,0.05,0.4,43,69
IL,0.5952335701686868,0.24,0.4,48,70
MF,0.5290251959750021,0.24,0.4,48,70
IL,0.5951972481952653,0.08,0.4,49,71
MF,0.7211762428921195,0.08,0.4,49,71
IL,0.5951040291349106,0.29,0.4,42,72
MF,0.5486403710863053,0.29,0.4,42,72
IL,0.5949462449432085,0.95,0.4,46,73
MF,0.06931914828404276,0.95,0.4,46,73
IL,0.5949104649872292,0.66,0.4,49,74
MF,0.24094245320469831,0.66,0.4,49,74
IL,0.5949697434006677,0.47,0.4,42,75
MF,0.3916650226831049,0.47,0.4,42,75
IL,0.595352473510986,0.11,0.4,50,76
MF,0.5698541949599631,0.11,0.4,50,76
IL,0.5949690304890817,0.61,0.4,47,77
MF,0.27928157303156165,0.61,0.4,47,77
IL,0.5950214736570656,0.92,0.4,48,78
MF,0.06307450449365175,0.92,0.4,48,78
IL,0.595237264112656,0.11,0.4,44,79
MF,0.5779979172236888,0.11,0.4,44,79
IL,0.5948110407762142,0.53,0.4,45,80
MF,0.29988538691281263,0.53,0.4,45,80
IL,0.5950410307441302,0.53,0.4,51,81
MF,0.3589292065242638,0.53,0.4,51,81
IL,0.5948817711879809,0.23,0.4,46,82
MF,0.4969756641143754,0.23,0.4,46,82
IL,0.59506746813798,0.69,0.4,44,83
MF,0.2505673332130432,0.69,0.4,44,83
IL,0.5950889876584557,0.35,0.4,46,84
MF,0.4757725441295648,0.35,0.4,46,84
IL,0.5950669834930656,0.45,0.4,51,85
MF,0.3810078884244318,0.45,0.4,51,85
IL,0.595020803097745,0.19,0.4,47,86
MF,0.5320984127055292,0.19,0.4,47,86
IL,0.595041872864155,0.45,0.4,45,87
MF,0.4034937872814382,0.45,0.4,45,87
IL,0.5949842177236523,0.69,0.4,50,88
MF,0.22773125480354314,0.69,0.4,50,88
IL,0.5952967397675056,0.07,0.4,44,89
MF,0.64295117632405,0.07,0.4,44,89
IL,0.595081771520843,0.84,0.4,48,90
MF,0.16929732797760588,0.84,0.4,48,90
IL,0.5950464391595812,0.77,0.4,47,91
MF,0.20491403341641234,0.77,0.4,47,91
IL,0.5950434712846847,0.1,0.4,49,92
MF,0.6720810381972843,0.1,0.4,49,92
IL,0.5946759460628301,0.07,0.4,50,93
MF,0.5307828047627519,0.07,0.4,50,93
IL,0.5949828354193973,0.89,0.4,42,94
MF,0.11422335058167803,0.89,0.4,42,94
IL,0.5949751888277676,0.6,0.4,47,95
MF,0.3242379531090696,0.6,0.4,47,95
IL,0.5950038415758098,0.51,0.4,42,96
MF,0.3669932481729507,0.51,0.4,42,96
IL,0.5950182515148934,0.83,0.4,46,97
MF,0.1702133838747085,0.83,0.4,46,97
IL,0.5951345130359685,0.13,0.4,43,98
MF,0.5609434183177977,0.13,0.4,43,98
IL,0.5951339415028892,0.32,0.4,48,99
MF,0.4940473619832701,0.32,0.4,48,99
IL,0.5944181673818335,0.13,0.4,42,100
MF,0.39835836237798133,0.13,0.4,42,100
IL,0.5950941462504984,0.32,0.4,49,101
MF,0.5043387895093356,0.32,0.4,49,101
IL,0.5950405571511918,0.83,0.4,47,102
MF,0.14109085295374618,0.83,0.4,47,102
IL,0.5950218714383249,0.6,0.4,46,103
MF,0.3047477351383827,0.6,0.4,46,103
IL,0.5950299816512422,0.51,0.4,43,104
MF,0.4070096385241267,0.51,0.4,43,104
IL,0.5948344236132244,0.07,0.4,51,105
MF,0.5162604399415487,0.07,0.4,51,105
IL,0.5947165561227638,0.1,0.4,48,106
MF,0.600427073633633,0.1,0.4,48,106
IL,0.5949180259595681,0.77,0.4,46,107
MF,0.17368397001548125,0.77,0.4,46,107
IL,0.5949366395238834,0.89,0.4,43,108
MF,0.09329921719122712,0.89,0.4,43,108
IL,0.5950596334913237,0.84,0.4,49,109
MF,0.17200434283811258,0.84,0.4,49,109
IL,0.5950241953309795,0.07,0.4,45,110
MF,0.6394099366811753,0.07,0.4,45,110
IL,0.5949182320781576,0.69,0.4,51,111
MF,0.23086323676623616,0.69,0.4,51,111
IL,0.5949304348746336,0.45,0.4,44,112
MF,0.3579338768907316,0.45,0.4,44,112
IL,0.5949404356015517,0.19,0.4,46,113
MF,0.4832642162410208,0.19,0.4,46,113
IL,0.5948482072382797,0.45,0.4,50,114
MF,0.30278390823212153,0.45,0.4,50,114
IL,0.59502226024311,0.35,0.4,47,115
MF,0.45530468594855983,0.35,0.4,47,115
IL,0.5949834590207973,0.69,0.4,45,116
MF,0.2200095560445216,0.69,0.4,45,116
IL,0.5950372538955033,0.23,0.4,47,117
MF,0.5212428004570051,0.23,0.4,47,117
IL,0.5949225744520278,0.53,0.4,50,118
MF,0.3127578279850661,0.53,0.4,50,118
IL,0.5949626259383496,0.53,0.4,44,119
MF,0.35333555334124517,0.53,0.4,44,119
IL,0.595251998592404,0.11,0.4,45,120
MF,0.6882724679357326,0.11,0.4,45,120
IL,0.5950070428015497,0.92,0.4,49,121
MF,0.048164784998693054,0.92,0.4,49,121
IL,0.5949902672189149,0.61,0.4,46,122
MF,0.3250764059762067,0.61,0.4,46,122
IL,0.5953078398431597,0.11,0.4,51,123
MF,0.6270882587402163,0.11,0.4,51,123
IL,0.5949577120357723,0.66,0.4,48,124
MF,0.2746766494398355,0.66,0.4,48,124
IL,0.5949945195946083,0.47,0.4,43,125
MF,0.34914500393034575,0.47,0.4,43,125
IL,0.5949684872293924,0.95,0.4,47,126
MF,0.03284569383414644,0.95,0.4,47,126
IL,0.594762173945004,0.08,0.4,48,127
MF,0.600339727418233,0.08,0.4,48,127
IL,0.5948776473066268,0.29,0.4,43,128
MF,0.40856813923054763,0.29,0.4,43,128
IL,0.5952993222310748,0.05,0.4,42,129
MF,0.7413847745462763,0.05,0.4,42,129
IL,0.5949696391624234,0.24,0.4,49,130
MF,0.488937963992201,0.24,0.4,49,130
IL,0.5949763653386139,0.95,0.4,43,131
MF,0.06330799594123297,0.95,0.4,43,131
IL,0.5950971981234364,0.37,0.4,44,132
MF,0.4368381501220833,0.37,0.4,44,132
IL,0.5948790034968586,0.37,0.4,50,133
MF,0.4531085392690605,0.37,0.4,50,133
IL,0.5950232584196339,0.98,0.4,49,134
MF,0.029106399541080616,0.98,0.4,49,134
IL,0.5950244322688242,0.47,0.4,47,135
