strategy,count,delta,lambda,kappa,sim,seed
MB,10.5028,0.05,0.2,0.4,616,51
MF,102.2096,0.05,0.2,0.4,616,51
IL,37.6736,0.81,0.3,0.4,617,47
MB,60.8164,0.81,0.3,0.4,617,47
MF,21.51,0.81,0.3,0.4,617,47
IL,25.7004,0.43,0.2,0.4,618,45
MB,12.856,0.43,0.2,0.4,618,45
MF,81.4436,0.43,0.2,0.4,618,45
IL,20.8992,0.71,0.1,0.4,619,46
MB,89.0624,0.71,0.1,0.4,619,46
MF,10.0384,0.71,0.1,0.4,619,46
IL,11.08,0.67,0.2,0.4,620,43
MB,102.1544,0.67,0.2,0.4,620,43
MF,6.7656,0.67,0.2,0.4,620,43
IL,33.3836,0.8,0.3,0.4,621,47
MB,70.582,0.8,0.3,0.4,621,47
MF,16.0344,0.8,0.3,0.4,621,47
IL,35.0368,0.43,0.2,0.4,622,51
MB,47.8844,0.43,0.2,0.4,622,51
MF,37.0788,0.43,0.2,0.4,622,51
IL,10.1988,0.04,0.1,0.4,623,50
MB,45.6024,0.04,0.1,0.4,623,50
MF,64.1988,0.04,0.1,0.4,623,50
IL,24.3208,0.5,0.2,0.4,624,47
MB,56.6588,0.5,0.2,0.4,624,47
MF,39.0204,0.5,0.2,0.4,624,47
IL,5.522106109324759,0.06,0.3,0.4,625,49
MB,5.3748,0.06,0.3,0.4,625,49
MF,109.1296,0.06,0.3,0.4,625,49
IL,17.734,0.36,0.2,0.4,626,47
MB,51.3764,0.36,0.2,0.4,626,47
MF,50.8896,0.36,0.2,0.4,626,47
IL,8.132365499573014,0.04,0.1,0.4,627,44
MB,28.4816,0.04,0.1,0.4,627,44
MF,83.9,0.04,0.1,0.4,627,44
IL,12.824,0.08,0.3,0.4,628,51
MB,5.4299439551641315,0.08,0.3,0.4,628,51
MF,101.7504,0.08,0.3,0.4,628,51
IL,20.9756,0.42,0.1,0.4,629,50
MB,36.5156,0.42,0.1,0.4,629,50
MF,62.5088,0.42,0.1,0.4,629,50
IL,26.8768,0.42,0.1,0.4,630,44
MB,56.1392,0.42,0.1,0.4,630,44
MF,36.984,0.42,0.1,0.4,630,44
IL,21.0716,0.66,0.1,0.4,631,42
MB,74.8724,0.66,0.1,0.4,631,42
MF,24.056,0.66,0.1,0.4,631,42
IL,11.1256,0.08,0.3,0.4,632,45
MB,18.1152,0.08,0.3,0.4,632,45
MF,90.7592,0.08,0.3,0.4,632,45
IL,57.2816,0.96,0.3,0.4,633,43
MB,53.0008,0.96,0.3,0.4,633,43
MF,9.7176,0.96,0.3,0.4,633,43
IL,24.1104,0.2,0.3,0.4,634,49
MB,15.7124,0.2,0.3,0.4,634,49
MF,80.1772,0.2,0.3,0.4,634,49
IL,8.212680577849117,0.0,0.1,0.4,635,44
MB,35.008,0.0,0.1,0.4,635,44
MF,76.8056,0.0,0.1,0.4,635,44
IL,16.6372,0.89,0.1,0.4,636,44
MB,85.904,0.89,0.1,0.4,636,44
MF,17.4588,0.89,0.1,0.4,636,44
IL,20.3648,0.17,0.1,0.4,637,42
MB,44.0256,0.17,0.1,0.4,637,42
MF,55.6096,0.17,0.1,0.4,637,42
IL,4.801361633960753,0.01,0.2,0.4,638,47
MB,12.1672,0.01,0.2,0.4,638,47
MF,103.0372,0.01,0.2,0.4,638,47
IL,14.462,0.33,0.1,0.4,639,44
MB,99.052,0.33,0.1,0.4,639,44
MF,6.623774509803922,0.33,0.1,0.4,639,44
IL,45.0104,0.31,0.3,0.4,640,49
MB,5.299254966887418,0.31,0.3,0.4,640,49
MF,69.8684,0.31,0.3,0.4,640,49
IL,25.7404,0.79,0.3,0.4,641,45
MB,84.1952,0.79,0.3,0.4,641,45
MF,10.488120050020841,0.79,0.3,0.4,641,45
IL,30.3876,0.79,0.3,0.4,642,51
MB,78.1328,0.79,0.3,0.4,642,51
MF,11.4796,0.79,0.3,0.4,642,51
IL,9.5472,0.89,0.1,0.4,643,50
MB,103.6296,0.89,0.1,0.4,643,50
MF,7.0313272877164055,0.89,0.1,0.4,643,50
IL,27.6976,0.33,0.1,0.4,644,50
MB,53.2752,0.33,0.1,0.4,644,50
MF,39.0272,0.33,0.1,0.4,644,50
IL,5.2,0.0,0.1,0.4,645,50
MB,21.0248,0.0,0.1,0.4,645,50
MF,93.7856,0.0,0.1,0.4,645,50
IL,65.0936,0.77,0.3,0.4,646,49
MB,41.8464,0.77,0.3,0.4,646,49
MF,13.988860325621252,0.77,0.3,0.4,646,49
IL,62.6512,0.85,0.3,0.4,647,45
MB,35.5664,0.85,0.3,0.4,647,45
MF,23.29170230966638,0.85,0.3,0.4,647,45
IL,9.8732,0.51,0.1,0.4,648,42
MB,101.2492,0.51,0.1,0.4,648,42
MF,8.8776,0.51,0.1,0.4,648,42
IL,41.3544,0.47,0.2,0.4,649,47
MB,23.7952,0.47,0.2,0.4,649,47
MF,54.8504,0.47,0.2,0.4,649,47
IL,16.844,0.87,0.1,0.4,650,48
MB,99.2492,0.87,0.1,0.4,650,48
MF,4.364164432529043,0.87,0.1,0.4,650,48
IL,25.6876,0.75,0.1,0.4,651,44
MB,87.2284,0.75,0.1,0.4,651,44
MF,7.084,0.75,0.1,0.4,651,44
IL,17.4268,0.75,0.1,0.4,652,50
MB,91.2164,0.75,0.1,0.4,652,50
MF,11.636065573770491,0.75,0.1,0.4,652,50
IL,22.1472,1.0,0.2,0.4,653,49
MB,94.7104,1.0,0.2,0.4,653,49
MF,3.248966087675765,1.0,0.2,0.4,653,49
IL,58.358,0.85,0.3,0.4,654,51
MB,46.1472,0.85,0.3,0.4,654,51
MF,15.4948,0.85,0.3,0.4,654,51
IL,38.8348,0.32,0.2,0.4,655,51
MB,26.268,0.32,0.2,0.4,655,51
MF,54.8972,0.32,0.2,0.4,655,51
IL,27.012,0.88,0.2,0.4,656,51
MB,82.8092,0.88,0.2,0.4,656,51
MF,10.1788,0.88,0.2,0.4,656,51
IL,12.1532,0.1,0.2,0.4,657,51
MB,9.431444991789819,0.1,0.2,0.4,657,51
MF,98.6568,0.1,0.2,0.4,657,51
IL,23.4808,0.1,0.2,0.4,658,45
MB,14.822503270824248,0.1,0.2,0.4,658,45
MF,82.924,0.1,0.2,0.4,658,45
IL,24.7136,0.16,0.2,0.4,659,43
MB,8.472,0.16,0.2,0.4,659,43
MF,86.8144,0.16,0.2,0.4,659,43
IL,29.6536,0.32,0.2,0.4,660,45
MB,43.6644,0.32,0.2,0.4,660,45
MF,46.682,0.32,0.2,0.4,660,45
IL,17.0464,0.88,0.2,0.4,661,45
MB,93.8676,0.88,0.2,0.4,661,45
MF,9.086,0.88,0.2,0.4,661,45
IL,33.458,0.74,0.2,0.4,662,51
MB,77.7552,0.74,0.2,0.4,662,51
MF,9.206621961441744,0.74,0.2,0.4,662,51
IL,32.534,0.74,0.2,0.4,663,45
MB,80.2912,0.74,0.2,0.4,663,45
MF,7.256067961165049,0.74,0.2,0.4,663,45
IL,39.7288,0.86,0.2,0.4,664,49
MB,64.7552,0.86,0.2,0.4,664,49
MF,15.516,0.86,0.2,0.4,664,49
IL,14.256209150326798,0.46,0.1,0.4,665,46
MB,74.212,0.46,0.1,0.4,665,46
MF,32.7008,0.46,0.1,0.4,665,46
IL,33.446,0.86,0.2,0.4,666,48
MB,65.73,0.86,0.2,0.4,666,48
MF,20.824,0.86,0.2,0.4,666,48
IL,12.842,0.46,0.1,0.4,667,47
MB,63.0336,0.46,0.1,0.4,667,47
MF,44.1244,0.46,0.1,0.4,667,47
IL,30.0032,0.74,0.2,0.4,668,44
MB,80.256,0.74,0.2,0.4,668,44
MF,9.7408,0.74,0.2,0.4,668,44
IL,57.422,0.74,0.2,0.4,669,50
MB,46.6036,0.74,0.2,0.4,669,50
MF,15.9744,0.74,0.2,0.4,669,50
IL,19.8664,0.1,0.2,0.4,670,44
MB,16.5616,0.1,0.2,0.4,670,44
MF,83.572,0.1,0.2,0.4,670,44
IL,7.4592,0.88,0.2,0.4,671,44
MB,107.8144,0.88,0.2,0.4,671,44
MF,5.0799656061908856,0.88,0.2,0.4,671,44
IL,21.3544,0.32,0.2,0.4,672,44
MB,19.7972,0.32,0.2,0.4,672,44
MF,78.8484,0.32,0.2,0.4,672,44
IL,13.4348,0.16,0.2,0.4,673,42
MB,17.4928,0.16,0.2,0.4,673,42
MF,89.0724,0.16,0.2,0.4,673,42
IL,17.7772,0.88,0.2,0.4,674,50
MB,93.9512,0.88,0.2,0.4,674,50
MF,8.2716,0.88,0.2,0.4,674,50
IL,35.5056,0.32,0.2,0.4,675,50
MB,38.6076,0.32,0.2,0.4,675,50
MF,45.8868,0.32,0.2,0.4,675,50
IL,17.267864605098204,0.1,0.2,0.4,676,50
MB,10.8576,0.1,0.2,0.4,676,50
MF,92.6136,0.1,0.2,0.4,676,50
IL,40.4364,0.85,0.3,0.4,677,50
MB,54.7116,0.85,0.3,0.4,677,50
MF,24.852,0.85,0.3,0.4,677,50
IL,20.7468,1.0,0.2,0.4,678,48
MB,93.3724,1.0,0.2,0.4,678,48
MF,6.037782340862423,1.0,0.2,0.4,678,48
IL,11.8024,0.75,0.1,0.4,679,51
MB,104.8308,0.75,0.1,0.4,679,51
MF,3.7243362831858406,0.75,0.1,0.4,679,51
IL,24.5216,0.75,0.1,0.4,680,45
MB,79.6496,0.75,0.1,0.4,680,45
MF,15.8288,0.75,0.1,0.4,680,45
IL,68.1528,0.47,0.2,0.4,681,46
MB,14.3388,0.47,0.2,0.4,681,46
MF,37.5084,0.47,0.2,0.4,681,46
IL,15.3924,0.87,0.1,0.4,682,49
MB,98.5812,0.87,0.1,0.4,682,49
MF,6.050602409638554,0.87,0.1,0.4,682,49
IL,17.5752,0.51,0.1,0.4,683,43
MB,87.422,0.51,0.1,0.4,683,43
MF,15.0028,0.51,0.1,0.4,683,43
IL,55.512,0.85,0.3,0.4,684,44
MB,50.012,0.85,0.3,0.4,684,44
MF,14.476,0.85,0.3,0.4,684,44
IL,73.6992,0.77,0.3,0.4,685,48
MB,32.118,0.77,0.3,0.4,685,48
MF,14.1828,0.77,0.3,0.4,685,48
IL,19.7392,0.33,0.1,0.4,686,51
MB,47.9272,0.33,0.1,0.4,686,51
MF,52.3336,0.33,0.1,0.4,686,51
IL,15.7616,0.89,0.1,0.4,687,51
MB,94.4984,0.89,0.1,0.4,687,51
MF,9.926620464737058,0.89,0.1,0.4,687,51
IL,68.8808,0.79,0.3,0.4,688,50
MB,30.7896,0.79,0.3,0.4,688,50
MF,20.3296,0.79,0.3,0.4,688,50
IL,5.7956,0.0,0.1,0.4,689,51
MB,31.0652,0.0,0.1,0.4,689,51
MF,83.1392,0.0,0.1,0.4,689,51
IL,6.2444,0.0,0.1,0.4,690,45
MB,15.2792,0.0,0.1,0.4,690,45
MF,98.4764,0.0,0.1,0.4,690,45
IL,34.192,0.2,0.3,0.4,691,48
MB,8.093635995135793,0.2,0.3,0.4,691,48
MF,77.8212,0.2,0.3,0.4,691,48
IL,40.8916,0.79,0.3,0.4,692,44
MB,70.1368,0.79,0.3,0.4,692,44
MF,8.9716,0.79,0.3,0.4,692,44
IL,35.1548,0.31,0.3,0.4,693,48
MB,11.3592,0.31,0.3,0.4,693,48
MF,73.486,0.31,0.3,0.4,693,48
IL,10.2512,0.33,0.1,0.4,694,45
MB,81.9596,0.33,0.1,0.4,694,45
MF,27.7892,0.33,0.1,0.4,694,45
IL,5.066029539530843,0.01,0.2,0.4,695,46
MB,9.166935483870967,0.01,0.2,0.4,695,46
MF,106.2416,0.01,0.2,0.4,695,46
IL,13.1484,0.17,0.1,0.4,696,43
MB,87.4956,0.17,0.1,0.4,696,43
MF,19.356,0.17,0.1,0.4,696,43
IL,24.0404,0.89,0.1,0.4,697,45
MB,85.1268,0.89,0.1,0.4,697,45
MF,10.8328,0.89,0.1,0.4,697,45
IL,49.0684,0.96,0.3,0.4,698,42
MB,64.0012,0.96,0.3,0.4,698,42
MF,7.083401471790679,0.96,0.3,0.4,698,42
IL,21.7084,0.08,0.3,0.4,699,44
MB,4.806,0.08,0.3,0.4,699,44
MF,93.4856,0.08,0.3,0.4,699,44
IL,20.282,0.66,0.1,0.4,700,43
MB,91.4304,0.66,0.1,0.4,700,43
MF,8.4052738336714,0.66,0.1,0.4,700,43
IL,15.9104,0.42,0.1,0.4,701,45
MB,53.0772,0.42,0.1,0.4,701,45
MF,51.0124,0.42,0.1,0.4,701,45
IL,13.9512,0.42,0.1,0.4,702,51
MB,89.0444,0.42,0.1,0.4,702,51
MF,17.0044,0.42,0.1,0.4,702,51
IL,12.714055577929923,0.08,0.3,0.4,703,50
MB,6.232128184059162,0.08,0.3,0.4,703,50
MF,101.3048,0.08,0.3,0.4,703,50
IL,37.8028,0.5,0.2,0.4,704,46
MB,21.68,0.5,0.2,0.4,704,46
MF,60.5172,0.5,0.2,0.4,704,46
IL,12.8884,0.04,0.1,0.4,705,45
MB,27.394,0.04,0.1,0.4,705,45
MF,79.7176,0.04,0.1,0.4,705,45
IL,40.9384,0.36,0.2,0.4,706,46
MB,49.234,0.36,0.2,0.4,706,46
MF,29.8276,0.36,0.2,0.4,706,46
IL,14.0356,0.06,0.3,0.4,707,48
MB,6.781879194630872,0.06,0.3,0.4,707,48
MF,99.4972,0.06,0.3,0.4,707,48
IL,2.8219248584662893,0.04,0.1,0.4,708,51
MB,70.6112,0.04,0.1,0.4,708,51
MF,47.1956,0.04,0.1,0.4,708,51
IL,34.632,0.43,0.2,0.4,709,50
MB,37.538,0.43,0.2,0.4,709,50
MF,47.83,0.43,0.2,0.4,709,50
IL,46.8456,0.67,0.2,0.4,710,42
MB,59.2036,0.67,0.2,0.4,710,42
MF,13.9508,0.67,0.2,0.4,710,42
IL,10.9448,0.71,0.1,0.4,711,47
MB,100.8332,0.71,0.1,0.4,711,47
MF,8.348903330625507,0.71,0.1,0.4,711,47
IL,51.1616,0.43,0.2,0.4,712,44
MB,44.8556,0.43,0.2,0.4,712,44
MF,23.9828,0.43,0.2,0.4,712,44
IL,44.4748,0.81,0.3,0.4,713,46
MB,48.5048,0.81,0.3,0.4,713,46
MF,27.0204,0.81,0.3,0.4,713,46
IL,43.112,0.8,0.3,0.4,714,46
MB,54.642,0.8,0.3,0.4,714,46
MF,22.246,0.8,0.3,0.4,714,46
IL,9.5932,0.05,0.2,0.4,715,50
MB,12.5312,0.05,0.2,0.4,715,50
MF,97.8756,0.05,0.2,0.4,715,50
IL,37.3948,0.4,0.1,0.4,716,47
MB,55.4796,0.4,0.1,0.4,716,47
MF,27.1256,0.4,0.1,0.4,716,47
IL,22.9512,0.21,0.2,0.4,717,42
MB,23.6104,0.21,0.2,0.4,717,42
MF,73.4384,0.21,0.2,0.4,717,42
IL,21.8052,0.37,0.1,0.4,718,47
MB,56.4112,0.37,0.1,0.4,718,47
MF,41.7836,0.37,0.1,0.4,718,47
IL,11.8024,0.05,0.2,0.4,719,44
MB,16.6092,0.05,0.2,0.4,719,44
MF,91.5884,0.05,0.2,0.4,719,44
IL,8.9096,0.22,0.1,0.4,720,49
MB,52.9968,0.22,0.1,0.4,720,49
MF,58.0936,0.22,0.1,0.4,720,49
IL,10.2276,0.58,0.2,0.4,721,46
MB,73.2712,0.58,0.2,0.4,721,46
MF,36.5012,0.58,0.2,0.4,721,46
IL,9.2148,0.98,0.1,0.4,722,49
MB,89.9144,0.98,0.1,0.4,722,49
MF,21.340286298568508,0.98,0.1,0.4,722,49
IL,76.2624,0.68,0.3,0.4,723,48
MB,8.537869582827055,0.68,0.3,0.4,723,48
MF,35.3056,0.68,0.3,0.4,723,48
IL,6.1048,0.04,0.3,0.4,724,42
MB,10.5788,0.04,0.3,0.4,724,42
MF,103.3164,0.04,0.3,0.4,724,42
IL,25.2752,0.94,0.3,0.4,725,48
MB,84.5996,0.94,0.3,0.4,725,48
MF,10.1252,0.94,0.3,0.4,725,48
IL,62.1404,0.66,0.3,0.4,726,44
MB,37.2712,0.66,0.3,0.4,726,44
MF,20.5884,0.66,0.3,0.4,726,44
IL,50.3504,0.42,0.3,0.4,727,42
MB,18.0776,0.42,0.3,0.4,727,42
MF,51.572,0.42,0.3,0.4,727,42
IL,17.540652084193148,0.08,0.1,0.4,728,43
MB,48.3492,0.08,0.1,0.4,728,43
MF,54.6504,0.08,0.1,0.4,728,43
IL,12.895427603725656,0.64,0.1,0.4,729,49
MB,93.554,0.64,0.1,0.4,729,49
MF,14.2624,0.64,0.1,0.4,729,49
IL,14.1544,0.96,0.1,0.4,730,45
MB,97.8724,0.96,0.1,0.4,730,45
MF,8.569647463456578,0.96,0.1,0.4,730,45
IL,13.1492,0.96,0.1,0.4,731,51
MB,97.1296,0.96,0.1,0.4,731,51
MF,10.319745222929937,0.96,0.1,0.4,731,51
IL,58.788,0.66,0.3,0.4,732,50
MB,33.114,0.66,0.3,0.4,732,50
MF,28.098,0.66,0.3,0.4,732,50
IL,16.8664,0.13,0.3,0.4,733,46
MB,17.1172,0.13,0.3,0.4,733,46
MF,86.0164,0.13,0.3,0.4,733,46
IL,33.2684,0.99,0.2,0.4,734,48
MB,80.1696,0.99,0.2,0.4,734,48
MF,7.077221742881795,0.99,0.2,0.4,734,48
IL,17.474,0.59,0.1,0.4,735,47
MB,84.978,0.59,0.1,0.4,735,47
MF,17.548,0.59,0.1,0.4,735,47
IL,28.386,0.23,0.2,0.4,736,48
MB,23.6004,0.23,0.2,0.4,736,48
MF,68.0136,0.23,0.2,0.4,736,48
IL,17.7056,0.97,0.2,0.4,737,50
MB,97.8208,0.97,0.2,0.4,737,50
MF,4.4736,0.97,0.2,0.4,737,50
IL,24.5612,0.97,0.2,0.4,738,44
MB,92.0128,0.97,0.2,0.4,738,44
MF,3.672813036020583,0.97,0.2,0.4,738,44
IL,11.8172,0.65,0.2,0.4,739,48
MB,98.3612,0.65,0.2,0.4,739,48
MF,9.8216,0.65,0.2,0.4,739,48
IL,12.8944,0.09,0.2,0.4,740,42
MB,23.8352,0.09,0.2,0.4,740,42
MF,83.2704,0.09,0.2,0.4,740,42
IL,53.8,0.55,0.3,0.4,741,46
MB,31.1624,0.55,0.3,0.4,741,46
MF,35.0376,0.55,0.3,0.4,741,46
IL,22.7004,0.78,0.2,0.4,742,42
MB,87.6916,0.78,0.2,0.4,742,42
MF,9.85638079606073,0.78,0.2,0.4,742,42
IL,11.203244704821993,0.14,0.2,0.4,743,48
MB,11.8668,0.14,0.2,0.4,743,48
MF,98.1892,0.14,0.2,0.4,743,48
IL,27.9888,0.24,0.3,0.4,744,46
MB,10.9928,0.24,0.3,0.4,744,46
MF,81.0184,0.24,0.3,0.4,744,46
IL,57.2188,0.62,0.3,0.4,745,46
MB,24.1456,0.62,0.3,0.4,745,46
MF,38.6356,0.62,0.3,0.4,745,46
IL,11.813061224489797,0.92,0.1,0.4,746,47
MB,101.3464,0.92,0.1,0.4,746,47
MF,7.0768,0.92,0.1,0.4,746,47
IL,51.0808,0.52,0.2,0.4,747,48
MB,46.4852,0.52,0.2,0.4,747,48
MF,22.434,0.52,0.2,0.4,747,48
IL,32.998,0.84,0.2,0.4,748,42
MB,74.3248,0.84,0.2,0.4,748,42
MF,12.6772,0.84,0.2,0.4,748,42
IL,10.0592,0.28,0.1,0.4,749,47
MB,84.1104,0.28,0.1,0.4,749,47
MF,25.8304,0.28,0.1,0.4,749,47
IL,27.2028,0.17,0.3,0.4,750,50
MB,7.169036976838684,0.17,0.3,0.4,750,50
MF,85.74,0.17,0.3,0.4,750,50
IL,37.6008,0.89,0.3,0.4,751,42
MB,78.4056,0.89,0.3,0.4,751,42
MF,4.182656053623796,0.89,0.3,0.4,751,42
IL,36.17,0.33,0.3,0.4,752,42
MB,10.2104,0.33,0.3,0.4,752,42
MF,73.6196,0.33,0.3,0.4,752,42
IL,10.0776,0.17,0.3,0.4,753,44
MB,12.5128,0.17,0.3,0.4,753,44
MF,97.4096,0.17,0.3,0.4,753,44
IL,18.4008,0.15,0.1,0.4,754,49
MB,38.182,0.15,0.1,0.4,754,49
MF,63.4172,0.15,0.1,0.4,754,49
IL,20.33,0.79,0.1,0.4,755,43
MB,82.2696,0.79,0.1,0.4,755,43
MF,17.4004,0.79,0.1,0.4,755,43
IL,6.573333333333333,0.0,0.3,0.4,756,42
MB,4.705978039853599,0.0,0.3,0.4,756,42
MF,108.8636,0.0,0.3,0.4,756,42
IL,53.0504,0.51,0.3,0.4,757,50
MB,21.572,0.51,0.3,0.4,757,50
MF,45.3776,0.51,0.3,0.4,757,50
IL,30.4316,0.29,0.2,0.4,758,46
MB,28.92918192918193,0.29,0.2,0.4,758,46
MF,61.1368,0.29,0.2,0.4,758,46
IL,10.415061295971979,0.53,0.1,0.4,759,49
MB,105.5872,0.53,0.1,0.4,759,49
MF,5.177167019027484,0.53,0.1,0.4,759,49
IL,22.9044,0.93,0.2,0.4,760,46
MB,70.1156,0.93,0.2,0.4,760,46
MF,26.98,0.93,0.2,0.4,760,46
IL,11.53,0.85,0.1,0.4,761,43
MB,99.8844,0.85,0.1,0.4,761,43
MF,8.854785478547855,0.85,0.1,0.4,761,43
IL,31.172,0.75,0.3,0.4,762,42
MB,74.7932,0.75,0.3,0.4,762,42
MF,14.0348,0.75,0.3,0.4,762,42
IL,47.9832,0.51,0.3,0.4,763,44
MB,34.5888,0.51,0.3,0.4,763,44
MF,37.428,0.51,0.3,0.4,763,44
IL,24.4228,0.19,0.3,0.4,764,48
MB,13.9768,0.19,0.3,0.4,764,48
MF,81.6004,0.19,0.3,0.4,764,48
IL,27.276,0.73,0.2,0.4,765,50
MB,75.2284,0.73,0.2,0.4,765,50
MF,17.4956,0.73,0.2,0.4,765,50
IL,26.41,0.8,0.2,0.4,766,48
MB,80.5168,0.8,0.2,0.4,766,48
MF,13.0732,0.8,0.2,0.4,766,48
IL,10.752,0.73,0.2,0.4,767,44
MB,99.746,0.73,0.2,0.4,767,44
MF,9.502,0.73,0.2,0.4,767,44
IL,43.0964,0.81,0.2,0.4,768,48
MB,68.3804,0.81,0.2,0.4,768,48
MF,8.775947281713345,0.81,0.2,0.4,768,48
IL,8.0,0.41,0.1,0.4,769,47
MB,94.8696,0.41,0.1,0.4,769,47
MF,17.1304,0.41,0.1,0.4,769,47
IL,20.2988,0.57,0.2,0.4,770,42
MB,75.1576,0.57,0.2,0.4,770,42
MF,24.5436,0.57,0.2,0.4,770,42
IL,31.7888,0.6,0.2,0.4,771,50
MB,61.1332,0.6,0.2,0.4,771,50
MF,27.078,0.6,0.2,0.4,771,50
IL,20.0952,0.35,0.2,0.4,772,50
MB,18.1792,0.35,0.2,0.4,772,50
MF,81.7256,0.35,0.2,0.4,772,50
IL,35.5276,0.35,0.2,0.4,773,44
MB,25.6612,0.35,0.2,0.4,773,44
MF,58.8112,0.35,0.2,0.4,773,44
IL,12.862,0.07,0.1,0.4,774,47
MB,42.1268,0.07,0.1,0.4,774,47
MF,65.0112,0.07,0.1,0.4,774,47
IL,20.7032,0.11,0.2,0.4,775,42
MB,7.568840579710145,0.11,0.2,0.4,775,42
MF,91.7764,0.11,0.2,0.4,775,42
IL,12.868,0.6,0.2,0.4,776,44
MB,90.8828,0.6,0.2,0.4,776,44
MF,16.2492,0.6,0.2,0.4,776,44
IL,10.3224,0.9,0.1,0.4,777,49
MB,102.5372,0.9,0.1,0.4,777,49
MF,7.376446280991735,0.9,0.1,0.4,777,49
IL,33.5016,0.82,0.3,0.4,778,44
MB,76.7936,0.82,0.3,0.4,778,44
MF,9.7048,0.82,0.3,0.4,778,44
IL,15.8912,0.38,0.3,0.4,779,44
MB,20.1904,0.38,0.3,0.4,779,44
MF,83.9184,0.38,0.3,0.4,779,44
IL,23.3124,0.72,0.1,0.4,780,45
MB,87.1096,0.72,0.1,0.4,780,45
MF,10.006268282490598,0.72,0.1,0.4,780,45
IL,4.816849816849817,0.56,0.1,0.4,781,43
MB,103.0936,0.56,0.1,0.4,781,43
MF,12.335224969598704,0.56,0.1,0.4,781,43
IL,14.0272,0.72,0.1,0.4,782,51
MB,69.956,0.72,0.1,0.4,782,51
MF,36.0168,0.72,0.1,0.4,782,51
IL,60.6164,0.82,0.3,0.4,783,50
MB,40.5744,0.82,0.3,0.4,783,50
MF,18.8092,0.82,0.3,0.4,783,50
IL,35.5812,0.38,0.3,0.4,784,50
MB,14.9916,0.38,0.3,0.4,784,50
MF,69.4272,0.38,0.3,0.4,784,50
IL,10.7612,0.06,0.2,0.4,785,46
MB,10.9264,0.06,0.2,0.4,785,46
MF,98.3124,0.06,0.2,0.4,785,46
IL,16.3292,0.34,0.1,0.4,786,45
MB,79.4344,0.34,0.1,0.4,786,45
MF,24.2364,0.34,0.1,0.4,786,45
IL,44.9464,0.36,0.3,0.4,787,48
MB,13.5396,0.36,0.3,0.4,787,48
MF,61.514,0.36,0.3,0.4,787,48
IL,61.4072,0.5,0.3,0.4,788,48
MB,19.5616,0.5,0.3,0.4,788,48
MF,39.0312,0.5,0.3,0.4,788,48
IL,5.108852755194219,0.7,0.1,0.4,789,45
MB,109.792,0.7,0.1,0.4,789,45
MF,6.1912854030501085,0.7,0.1,0.4,789,45
IL,14.9068,0.7,0.1,0.4,790,51
MB,88.0504,0.7,0.1,0.4,790,51
MF,17.0428,0.7,0.1,0.4,790,51
IL,10.4628,0.34,0.1,0.4,791,51
MB,94.902,0.34,0.1,0.4,791,51
MF,14.6352,0.34,0.1,0.4,791,51
IL,81.6292,1.0,0.3,0.4,792,46
MB,18.734,1.0,0.3,0.4,792,46
MF,19.6368,1.0,0.3,0.4,792,46
IL,23.1096,0.45,0.1,0.4,793,51
MB,64.3408,0.45,0.1,0.4,793,51
MF,32.5496,0.45,0.1,0.4,793,51
IL,15.4924,0.61,0.1,0.4,794,43
MB,92.7724,0.61,0.1,0.4,794,43
MF,11.7352,0.61,0.1,0.4,794,43
IL,34.2352,0.77,0.2,0.4,795,46
MB,73.9864,0.77,0.2,0.4,795,46
MF,11.7784,0.77,0.2,0.4,795,46
IL,15.2264,0.45,0.1,0.4,796,45
MB,78.3028,0.45,0.1,0.4,796,45
MF,26.4708,0.45,0.1,0.4,796,45
IL,62.9116,0.47,0.3,0.4,797,48
MB,8.4472,0.47,0.3,0.4,797,48
MF,48.6412,0.47,0.3,0.4,797,48
IL,63.1452,0.91,0.3,0.4,798,42
MB,37.818,0.91,0.3,0.4,798,42
MF,19.0368,0.91,0.3,0.4,798,42
IL,7.2236,0.03,0.1,0.4,799,51
MB,37.6356,0.03,0.1,0.4,799,51
MF,75.1408,0.03,0.1,0.4,799,51
IL,40.436,0.49,0.3,0.4,800,50
MB,32.688,0.49,0.3,0.4,800,50
MF,46.876,0.49,0.3,0.4,800,50
IL,45.8664,0.49,0.3,0.4,801,44
MB,26.3104,0.49,0.3,0.4,801,44
MF,47.8232,0.49,0.3,0.4,801,44
IL,7.304857621440536,0.01,0.3,0.4,802,48
MB,7.344,0.01,0.3,0.4,802,48
MF,105.6784,0.01,0.3,0.4,802,48
IL,17.5496,0.27,0.1,0.4,803,43
MB,56.2332,0.27,0.1,0.4,803,43
MF,46.2172,0.27,0.1,0.4,803,43
IL,15.9212,0.31,0.2,0.4,804,46
MB,35.0332,0.31,0.2,0.4,804,46
MF,69.0456,0.31,0.2,0.4,804,46
IL,6.716,0.03,0.1,0.4,805,45
MB,23.8172,0.03,0.1,0.4,805,45
MF,89.4668,0.03,0.1,0.4,805,45
IL,21.9784,0.2,0.2,0.4,806,46
MB,19.4896,0.2,0.2,0.4,806,46
MF,78.532,0.2,0.2,0.4,806,46
IL,80.3132,0.86,0.3,0.4,807,46
MB,25.188,0.86,0.3,0.4,807,46
MF,14.4988,0.86,0.3,0.4,807,46
IL,37.7304,0.44,0.2,0.4,808,44
MB,30.11,0.44,0.2,0.4,808,44
MF,52.1596,0.44,0.2,0.4,808,44
