strategy,count,delta,lambda,kappa,sim
IL,5.303285256410256,0.1,0.5,0.9,173
MB,4.939049167005282,0.1,0.5,0.9,173
MF,109.8432,0.1,0.5,0.9,173
IL,38.5556,0.2,0.30000000000000004,0.30000000000000004,174
MB,8.015834348355664,0.2,0.30000000000000004,0.30000000000000004,174
MF,73.5472,0.2,0.30000000000000004,0.30000000000000004,174
IL,3.5718499789296247,0.4,0.1,1.0,175
MB,61.382,0.4,0.1,1.0,175
MF,55.2276,0.4,0.1,1.0,175
IL,57.1248,0.2,0.6000000000000001,0.2,176
MB,3.838345864661654,0.2,0.6000000000000001,0.2,176
MF,59.1996,0.2,0.6000000000000001,0.2,176
IL,62.69,0.9,0.2,0.2,177
MB,49.2848,0.9,0.2,0.2,177
MF,8.0252,0.9,0.2,0.2,177
IL,104.3668,0.4,0.7000000000000001,0.1,178
MB,4.210568454763811,0.4,0.7000000000000001,0.1,178
MF,11.426,0.4,0.7000000000000001,0.1,178
IL,5.5304,1.0,0.7000000000000001,0.8,179
MB,4.820302906262792,1.0,0.7000000000000001,0.8,179
MF,109.7592,1.0,0.7000000000000001,0.8,179
IL,6.246,0.1,0.1,0.6000000000000001,180
MB,21.264,0.1,0.1,0.6000000000000001,180
MF,92.49,0.1,0.1,0.6000000000000001,180
IL,4.4604,0.9,0.0,1.0,181
MB,89.7588,0.9,0.0,1.0,181
MF,25.7808,0.9,0.0,1.0,181
IL,17.4844,0.9,0.1,0.3,182
MB,95.5884,0.9,0.1,0.3,182
MF,7.129682997118156,0.9,0.1,0.3,182
IL,95.6676,0.4,0.5,0.1,183
MB,3.139721401435205,0.4,0.5,0.1,183
MF,21.3572,0.4,0.5,0.1,183
IL,101.6684,0.7000000000000001,0.7000000000000001,0.2,184
MB,4.389004581424406,0.7000000000000001,0.7000000000000001,0.2,184
MF,14.1164,0.7000000000000001,0.7000000000000001,0.2,184
IL,105.2504,0.9,0.4,0.1,185
MB,8.94605983986515,0.9,0.4,0.1,185
MF,6.882974043114826,0.9,0.4,0.1,185
IL,4.150467669784465,0.8,0.7000000000000001,0.9,186
MB,4.506950122649223,0.8,0.7000000000000001,0.9,186
MF,111.508,0.8,0.7000000000000001,0.9,186
IL,3.6836,0.30000000000000004,0.8,1.0,187
MB,2.714348015699956,0.30000000000000004,0.8,1.0,187
MF,113.8268,0.30000000000000004,0.8,1.0,187
IL,110.7048,0.6000000000000001,0.7000000000000001,0.0,188
MB,3.8537678207739305,0.6000000000000001,0.7000000000000001,0.0,188
MF,5.5108,0.6000000000000001,0.7000000000000001,0.0,188
IL,107.3624,0.5,0.6000000000000001,0.1,189
MB,4.3416,0.5,0.6000000000000001,0.1,189
MF,8.296,0.5,0.6000000000000001,0.1,189
IL,69.6504,0.7000000000000001,0.30000000000000004,0.4,190
MB,26.4764,0.7000000000000001,0.30000000000000004,0.4,190
MF,23.8732,0.7000000000000001,0.30000000000000004,0.4,190
IL,6.0048,0.2,0.30000000000000004,0.7000000000000001,191
MB,4.504606365159129,0.2,0.30000000000000004,0.7000000000000001,191
MF,109.6924,0.2,0.30000000000000004,0.7000000000000001,191
IL,5.952,0.7000000000000001,0.6000000000000001,1.0,192
MB,3.9279423538831066,0.7000000000000001,0.6000000000000001,1.0,192
MF,110.1232,0.7000000000000001,0.6000000000000001,1.0,192
IL,13.548,0.2,0.9,0.5,193
MB,4.091019910605445,0.2,0.9,0.5,193
MF,102.4248,0.2,0.9,0.5,193
IL,5.830158086745034,0.5,0.30000000000000004,0.8,194
MB,30.4216,0.5,0.30000000000000004,0.8,194
MF,83.8252,0.5,0.30000000000000004,0.8,194
IL,6.161983471074381,0.30000000000000004,0.4,0.8,195
MB,5.3988,0.30000000000000004,0.4,0.8,195
MF,108.6364,0.30000000000000004,0.4,0.8,195
IL,14.766,0.30000000000000004,1.0,0.6000000000000001,196
MB,2.665359477124183,0.30000000000000004,1.0,0.6000000000000001,196
MF,102.7872,0.30000000000000004,1.0,0.6000000000000001,196
IL,35.872,0.1,0.8,0.2,197
MB,4.045943708609271,0.1,0.8,0.2,197
MF,80.218,0.1,0.8,0.2,197
IL,87.802,1.0,0.8,0.5,198
MB,11.152,1.0,0.8,0.5,198
MF,21.046,1.0,0.8,0.5,198
IL,3.773529411764706,0.0,0.0,0.6000000000000001,199
MB,94.4244,0.0,0.0,0.6000000000000001,199
MF,21.9832,0.0,0.0,0.6000000000000001,199
IL,41.288,0.2,0.0,0.1,200
MB,60.7272,0.2,0.0,0.1,200
MF,17.9848,0.2,0.0,0.1,200
IL,51.9592,0.9,0.5,0.7000000000000001,201
MB,27.6792,0.9,0.5,0.7000000000000001,201
MF,40.3616,0.9,0.5,0.7000000000000001,201
IL,56.9992,0.0,0.7000000000000001,0.1,202
MB,3.628704487722269,0.0,0.7000000000000001,0.1,202
MF,59.5724,0.0,0.7000000000000001,0.1,202
IL,49.8128,1.0,0.1,0.1,203
MB,62.2196,1.0,0.1,0.1,203
MF,7.9676,1.0,0.1,0.1,203
IL,2.223723089911355,0.0,0.9,1.0,204
MB,2.7151927437641725,0.0,0.9,1.0,204
MF,115.498,0.0,0.9,1.0,204
IL,101.4016,0.0,0.30000000000000004,0.0,205
MB,4.198088618592529,0.0,0.30000000000000004,0.0,205
MF,14.7328,0.0,0.30000000000000004,0.0,205
IL,5.253614209004543,0.5,0.1,0.6000000000000001,206
MB,104.6096,0.5,0.1,0.6000000000000001,206
MF,10.3028,0.5,0.1,0.6000000000000001,206
IL,96.5156,1.0,0.4,0.3,207
MB,14.074,1.0,0.4,0.3,207
MF,9.4104,1.0,0.4,0.3,207
IL,13.734,0.1,0.4,0.4,208
MB,3.4115646258503403,0.1,0.4,0.4,208
MF,103.0564,0.1,0.4,0.4,208
IL,5.595753205128205,0.7000000000000001,0.2,1.0,209
MB,12.3704,0.7000000000000001,0.2,1.0,209
MF,102.0428,0.7000000000000001,0.2,1.0,209
IL,3.458,0.0,0.5,0.8,210
MB,3.125967325881341,0.0,0.5,0.8,210
MF,113.6336,0.0,0.5,0.8,210
IL,72.3972,0.5,0.4,0.30000000000000004,211
MB,9.714,0.5,0.4,0.30000000000000004,211
MF,37.8888,0.5,0.4,0.30000000000000004,211
IL,110.7972,0.7000000000000001,0.5,0.0,212
MB,5.2884,0.7000000000000001,0.5,0.0,212
MF,4.345470692717584,0.7000000000000001,0.5,0.0,212
IL,84.6336,0.4,0.8,0.30000000000000004,213
MB,3.835783284334313,0.4,0.8,0.30000000000000004,213
MF,31.7132,0.4,0.8,0.30000000000000004,213
IL,62.044,0.8,0.6000000000000001,0.5,214
MB,22.5388,0.8,0.6000000000000001,0.5,214
MF,35.4172,0.8,0.6000000000000001,0.5,214
IL,109.6956,0.6000000000000001,0.4,0.1,215
MB,3.513852813852814,0.6000000000000001,0.4,0.1,215
MF,7.1491085899513775,0.6000000000000001,0.4,0.1,215
IL,20.8688,0.7000000000000001,0.0,0.2,216
MB,93.2072,0.7000000000000001,0.0,0.2,216
MF,5.924,0.7000000000000001,0.0,0.2,216
IL,9.1112,1.0,0.9,0.8,217
MB,3.262107051826678,1.0,0.9,0.8,217
MF,107.8172,1.0,0.9,0.8,217
IL,93.736,0.6000000000000001,0.2,0.2,218
MB,20.3708,0.6000000000000001,0.2,0.2,218
MF,5.897918334667734,0.6000000000000001,0.2,0.2,218
IL,81.3572,0.9,0.6000000000000001,0.6000000000000001,219
MB,8.912,0.9,0.6000000000000001,0.6000000000000001,219
MF,29.7308,0.9,0.6000000000000001,0.6000000000000001,219
IL,11.758,0.8,0.4,0.7000000000000001,220
MB,8.8096,0.8,0.4,0.7000000000000001,220
MF,99.4324,0.8,0.4,0.7000000000000001,220
IL,5.2212,0.8,0.30000000000000004,1.0,221
MB,12.562,0.8,0.30000000000000004,1.0,221
MF,102.2168,0.8,0.30000000000000004,1.0,221
IL,10.3228,0.2,0.7000000000000001,0.7000000000000001,222
MB,3.4420967086550185,0.2,0.7000000000000001,0.7000000000000001,222
MF,106.2888,0.2,0.7000000000000001,0.7000000000000001,222
IL,96.1372,0.1,0.6000000000000001,0.1,223
MB,4.662935323383085,0.1,0.6000000000000001,0.1,223
MF,19.364,0.1,0.6000000000000001,0.1,223
IL,30.3272,0.8,0.1,0.2,224
MB,82.7112,0.8,0.1,0.2,224
MF,6.9616,0.8,0.1,0.2,224
IL,104.0008,0.5,0.5,0.0,225
MB,3.617247238742566,0.5,0.5,0.0,225
MF,12.5932,0.5,0.5,0.0,225
IL,4.363085621970921,0.2,0.30000000000000004,0.9,226
MB,6.9983498349834985,0.2,0.30000000000000004,0.9,226
MF,108.8932,0.2,0.30000000000000004,0.9,226
IL,26.158,0.30000000000000004,0.5,0.5,227
MB,4.443757725587145,0.30000000000000004,0.5,0.5,227
MF,89.528,0.30000000000000004,0.5,0.5,227
IL,15.4028,0.30000000000000004,0.30000000000000004,0.5,228
MB,17.063524590163933,0.30000000000000004,0.30000000000000004,0.5,228
MF,87.9432,0.30000000000000004,0.30000000000000004,0.5,228
IL,4.404202719406675,0.5,0.2,1.0,229
MB,20.116139367240688,0.5,0.2,1.0,229
MF,95.6324,0.5,0.2,1.0,229
IL,14.361378205128204,0.2,0.8,0.8,230
MB,3.432842287694974,0.2,0.8,0.8,230
MF,102.4924,0.2,0.8,0.8,230
IL,12.1144,0.9,0.2,0.7000000000000001,231
MB,22.4636,0.9,0.2,0.7000000000000001,231
MF,85.422,0.9,0.2,0.7000000000000001,231
IL,3.308688387635756,0.6000000000000001,0.0,1.0,232
MB,108.996,0.6000000000000001,0.0,1.0,232
MF,7.8356,0.6000000000000001,0.0,1.0,232
IL,108.7516,0.8,0.4,0.0,233
MB,5.641985353946298,0.8,0.4,0.0,233
MF,5.872682323856613,0.8,0.4,0.0,233
IL,18.7392,0.5,0.0,0.2,234
MB,88.1208,0.5,0.0,0.2,234
MF,13.14,0.5,0.0,0.2,234
IL,4.6168,0.4,0.0,0.6000000000000001,235
MB,101.6988,0.4,0.0,0.6000000000000001,235
MF,13.6844,0.4,0.0,0.6000000000000001,235
IL,31.7448,0.6000000000000001,0.9,0.6000000000000001,236
MB,6.2256,0.6000000000000001,0.9,0.6000000000000001,236
MF,82.0296,0.6000000000000001,0.9,0.6000000000000001,236
IL,88.7108,1.0,0.6000000000000001,0.4,237
MB,9.7636,1.0,0.6000000000000001,0.4,237
MF,21.5256,1.0,0.6000000000000001,0.4,237
IL,105.8796,0.2,1.0,0.0,238
MB,2.563734290843806,0.2,1.0,0.0,238
MF,11.8356,0.2,1.0,0.0,238
IL,7.092,0.6000000000000001,0.30000000000000004,0.9,239
MB,13.9476,0.6000000000000001,0.30000000000000004,0.9,239
MF,98.9604,0.6000000000000001,0.30000000000000004,0.9,239
IL,104.3904,1.0,0.2,0.0,240
MB,10.6208,1.0,0.2,0.0,240
MF,4.9888,1.0,0.2,0.0,240
IL,6.537268418785007,0.8,1.0,1.0,241
MB,3.5104,0.8,1.0,1.0,241
MF,110.4204,0.8,1.0,1.0,241
IL,4.1344,0.2,0.4,1.0,242
MB,5.106639839034205,0.2,0.4,1.0,242
MF,110.7896,0.2,0.4,1.0,242
IL,12.6384,0.1,0.30000000000000004,0.4,243
MB,5.079151366789065,0.1,0.30000000000000004,0.4,243
MF,102.382,0.1,0.30000000000000004,0.4,243
IL,2.6068649885583524,1.0,0.5,1.0,244
MB,5.672854785478548,1.0,0.5,1.0,244
MF,112.2212,1.0,0.5,1.0,244
IL,77.9292,0.4,0.9,0.30000000000000004,245
MB,4.312370707488622,0.4,0.9,0.30000000000000004,245
MF,37.9016,0.4,0.9,0.30000000000000004,245
IL,10.8896,0.1,0.30000000000000004,0.7000000000000001,246
MB,5.187737843551797,0.1,0.30000000000000004,0.7000000000000001,246
MF,104.2028,0.1,0.30000000000000004,0.7000000000000001,246
IL,103.742,0.6000000000000001,0.7000000000000001,0.30000000000000004,247
MB,4.957464553794829,0.6000000000000001,0.7000000000000001,0.30000000000000004,247
MF,11.5028,0.6000000000000001,0.7000000000000001,0.30000000000000004,247
IL,85.5104,0.9,0.7000000000000001,0.5,248
MB,15.8756,0.9,0.7000000000000001,0.5,248
MF,18.614,0.9,0.7000000000000001,0.5,248
IL,86.6848,0.5,0.5,0.30000000000000004,249
MB,5.27,0.5,0.5,0.30000000000000004,249
MF,28.0452,0.5,0.5,0.30000000000000004,249
IL,12.5404,0.1,0.0,0.2,250
MB,96.6108,0.1,0.0,0.2,250
MF,10.8488,0.1,0.0,0.2,250
IL,7.8992,0.2,0.1,0.5,251
MB,58.3192,0.2,0.1,0.5,251
MF,53.7816,0.2,0.1,0.5,251
IL,4.352100840336134,1.0,0.0,0.5,252
MB,86.2804,1.0,0.0,0.5,252
MF,29.5764,1.0,0.0,0.5,252
IL,109.7976,1.0,0.7000000000000001,0.1,253
MB,3.8619418271200328,1.0,0.7000000000000001,0.1,253
MF,6.557504078303426,1.0,0.7000000000000001,0.1,253
IL,16.0772,0.4,0.7000000000000001,0.8,254
MB,6.269262981574539,0.4,0.7000000000000001,0.8,254
MF,97.9344,0.4,0.7000000000000001,0.8,254
IL,63.9504,0.30000000000000004,0.9,0.30000000000000004,255
MB,3.433729995896594,0.30000000000000004,0.9,0.30000000000000004,255
MF,52.7024,0.30000000000000004,0.9,0.30000000000000004,255
IL,13.1244,0.1,0.7000000000000001,0.4,256
MB,3.3645320197044337,0.1,0.7000000000000001,0.4,256
MF,103.8704,0.1,0.7000000000000001,0.4,256
IL,3.641869918699187,0.1,0.2,1.0,257
MB,15.3432,0.1,0.2,1.0,257
MF,101.0732,0.1,0.2,1.0,257
IL,16.3204,0.30000000000000004,0.5,0.6000000000000001,258
MB,4.173745173745174,0.30000000000000004,0.5,0.6000000000000001,258
MF,99.788,0.30000000000000004,0.5,0.6000000000000001,258
IL,94.4192,0.1,0.5,0.0,259
MB,7.670343137254902,0.1,0.5,0.0,259
MF,18.07,0.1,0.5,0.0,259
IL,107.2044,0.7000000000000001,0.6000000000000001,0.30000000000000004,260
MB,5.8228,0.7000000000000001,0.6000000000000001,0.30000000000000004,260
MF,7.257285595337219,0.7000000000000001,0.6000000000000001,0.30000000000000004,260
IL,65.5688,0.7000000000000001,0.4,0.4,261
MB,23.454,0.7000000000000001,0.4,0.4,261
MF,30.9772,0.7000000000000001,0.4,0.4,261
IL,3.117304492512479,0.30000000000000004,0.0,1.0,262
MB,85.674,0.30000000000000004,0.0,1.0,262
MF,31.3284,0.30000000000000004,0.0,1.0,262
IL,110.6732,0.9,0.6000000000000001,0.0,263
MB,4.738891239949217,0.9,0.6000000000000001,0.0,263
MF,5.214716006884681,0.9,0.6000000000000001,0.0,263
IL,14.944,0.4,0.30000000000000004,0.5,264
MB,14.062,0.4,0.30000000000000004,0.5,264
MF,90.994,0.4,0.30000000000000004,0.5,264
IL,106.926,0.9,0.9,0.3,265
MB,7.47027027027027,0.9,0.9,0.3,265
MF,5.8876,0.9,0.9,0.3,265
IL,5.178685897435898,0.7000000000000001,0.0,0.7000000000000001,266
MB,110.3584,0.7000000000000001,0.0,0.7000000000000001,266
MF,4.845253576072822,0.7000000000000001,0.0,0.7000000000000001,266
IL,45.7076,0.6000000000000001,0.5,0.5,267
MB,14.682,0.6000000000000001,0.5,0.5,267
MF,59.6104,0.6000000000000001,0.5,0.5,267
IL,55.6664,0.30000000000000004,0.2,0.2,268
MB,24.4084,0.30000000000000004,0.2,0.2,268
MF,39.9252,0.30000000000000004,0.2,0.2,268
IL,14.6936,0.30000000000000004,0.2,0.6000000000000001,269
MB,24.8584,0.30000000000000004,0.2,0.6000000000000001,269
MF,80.448,0.30000000000000004,0.2,0.6000000000000001,269
IL,4.9804,0.2,0.1,0.7000000000000001,270
MB,64.8584,0.2,0.1,0.7000000000000001,270
MF,50.1612,0.2,0.1,0.7000000000000001,270
IL,44.6672,0.5,0.4,0.4,271
MB,18.7584,0.5,0.4,0.4,271
MF,56.5744,0.5,0.4,0.4,271
IL,59.1864,0.30000000000000004,0.8,0.30000000000000004,272
MB,3.0421455938697317,0.30000000000000004,0.8,0.30000000000000004,272
MF,57.9552,0.30000000000000004,0.8,0.30000000000000004,272
IL,89.234,0.5,0.30000000000000004,0.1,273
MB,20.7416,0.5,0.30000000000000004,0.1,273
MF,10.641613588110403,0.5,0.30000000000000004,0.1,273
IL,84.9676,0.30000000000000004,0.4,0.1,274
MB,3.1416076634735526,0.30000000000000004,0.4,0.1,274
MF,32.0152,0.30000000000000004,0.4,0.1,274
IL,5.136,0.9,0.8,1.0,275
MB,5.3902777777777775,0.9,0.8,1.0,275
MF,110.2068,0.9,0.8,1.0,275
IL,5.6552,0.4,0.9,1.0,276
MB,3.6383259911894275,0.4,0.9,1.0,276
MF,111.0412,0.4,0.9,1.0,276
IL,100.1508,1.0,1.0,0.4,277
MB,3.9983619983619985,1.0,1.0,0.4,277
MF,15.9436,1.0,1.0,0.4,277
IL,89.712,0.8,0.5,0.4,278
MB,17.7124,0.8,0.5,0.4,278
MF,12.5756,0.8,0.5,0.4,278
IL,12.3104,0.5,0.6000000000000001,0.8,279
MB,4.544288079470198,0.5,0.6000000000000001,0.8,279
MF,103.298,0.5,0.6000000000000001,0.8,279
IL,4.026715988491574,0.6000000000000001,0.7000000000000001,0.9,280
MB,3.818025010780509,0.6000000000000001,0.7000000000000001,0.9,280
MF,112.5396,0.6000000000000001,0.7000000000000001,0.9,280
IL,4.404,0.0,0.6000000000000001,0.4,281
MB,3.5846994535519126,0.0,0.6000000000000001,0.4,281
MF,112.1848,0.0,0.6000000000000001,0.4,281
IL,35.8448,1.0,0.3,0.4,282
MB,74.4924,1.0,0.3,0.4,282
MF,9.6628,1.0,0.3,0.4,282
IL,16.4644,0.9,0.4,0.8,283
MB,16.6264,0.9,0.4,0.8,283
MF,86.9092,0.9,0.4,0.8,283
IL,110.5232,0.8,0.7000000000000001,0.0,284
MB,5.0328,0.8,0.7000000000000001,0.0,284
MF,4.444,0.8,0.7000000000000001,0.0,284
IL,5.082131410256411,0.4,0.30000000000000004,0.7000000000000001,285
MB,8.5444,0.4,0.30000000000000004,0.7000000000000001,285
MF,106.3816,0.4,0.30000000000000004,0.7000000000000001,285
IL,25.1612,0.2,0.2,0.4,286
MB,17.1568,0.2,0.2,0.4,286
MF,77.682,0.2,0.2,0.4,286
IL,35.3164,0.5,0.2,0.30000000000000004,287
MB,55.6156,0.5,0.2,0.30000000000000004,287
MF,29.068,0.5,0.2,0.30000000000000004,287
IL,15.1536,0.4,0.5,0.8,288
MB,6.66,0.4,0.5,0.8,288
MF,98.1864,0.4,0.5,0.8,288
IL,81.1488,0.5,0.6000000000000001,0.30000000000000004,289
MB,6.852538275584206,0.5,0.6000000000000001,0.30000000000000004,289
MF,32.048,0.5,0.6000000000000001,0.30000000000000004,289
IL,14.0376,0.6000000000000001,0.4,0.8,290
MB,9.022366815778772,0.6000000000000001,0.4,0.8,290
MF,97.088,0.6000000000000001,0.4,0.8,290
IL,87.5216,0.9,0.8,0.6000000000000001,291
MB,6.3380992430613965,0.9,0.8,0.6000000000000001,291
MF,26.4496,0.9,0.8,0.6000000000000001,291
IL,9.8204,0.7000000000000001,0.5,0.9,292
MB,4.3992,0.7000000000000001,0.5,0.9,292
MF,105.7804,0.7000000000000001,0.5,0.9,292
IL,43.5004,0.5,0.1,0.30000000000000004,293
MB,53.2776,0.5,0.1,0.30000000000000004,293
MF,23.222,0.5,0.1,0.30000000000000004,293
IL,24.2452,0.0,0.5,0.1,294
MB,5.900856793145655,0.0,0.5,0.1,294
MF,89.9696,0.0,0.5,0.1,294
IL,5.2376,0.6000000000000001,0.8,1.0,295
MB,3.9930922389272654,0.6000000000000001,0.8,1.0,295
MF,110.8316,0.6000000000000001,0.8,1.0,295
IL,104.2352,0.5,0.8,0.2,296
MB,4.209177346010748,0.5,0.8,0.2,296
MF,11.692,0.5,0.8,0.2,296
IL,2.3469818488813847,0.0,0.30000000000000004,0.9,297
MB,8.0396,0.0,0.30000000000000004,0.9,297
MF,109.7364,0.0,0.30000000000000004,0.9,297
IL,109.3764,0.8,0.9,0.2,298
MB,3.6120196238757156,0.8,0.9,0.2,298
MF,7.141015310233683,0.8,0.9,0.2,298
IL,64.796,0.5,0.7000000000000001,0.4,299
MB,6.3232,0.5,0.7000000000000001,0.4,299
MF,48.8808,0.5,0.7000000000000001,0.4,299
IL,6.7264,1.0,0.1,0.8,300
MB,58.1708,1.0,0.1,0.8,300
MF,55.1028,1.0,0.1,0.8,300
IL,3.0939738727349346,0.0,0.7000000000000001,0.8,301
MB,4.234979423868313,0.0,0.7000000000000001,0.8,301
MF,112.9468,0.0,0.7000000000000001,0.8,301
IL,64.1792,0.6000000000000001,0.6000000000000001,0.5,302
MB,7.8988,0.6000000000000001,0.6000000000000001,0.5,302
MF,47.922,0.6000000000000001,0.6000000000000001,0.5,302
IL,5.832,0.2,0.0,0.8,303
MB,92.1656,0.2,0.0,0.8,303
MF,22.0024,0.2,0.0,0.8,303
IL,16.346,0.2,0.6000000000000001,0.7000000000000001,304
MB,4.50440251572327,0.2,0.6000000000000001,0.7000000000000001,304
MF,99.3568,0.2,0.6000000000000001,0.7000000000000001,304
IL,108.126,0.7000000000000001,0.8,0.2,305
MB,3.879523201362282,0.7000000000000001,0.8,0.2,305
MF,8.2288,0.7000000000000001,0.8,0.2,305
IL,55.5544,0.9,0.7000000000000001,0.6000000000000001,306
MB,12.2448,0.9,0.7000000000000001,0.6000000000000001,306
MF,52.2008,0.9,0.7000000000000001,0.6000000000000001,306
IL,12.9876,0.6000000000000001,0.4,0.7000000000000001,307
MB,6.37525354969574,0.6000000000000001,0.4,0.7000000000000001,307
MF,100.7264,0.6000000000000001,0.4,0.7000000000000001,307
IL,29.6864,0.4,0.4,0.5,308
MB,5.795362082994305,0.4,0.4,0.5,308
MF,84.6156,0.4,0.4,0.5,308
IL,11.82476730068798,0.5,0.0,0.30000000000000004,309
MB,92.9752,0.5,0.0,0.30000000000000004,309
MF,15.3372,0.5,0.0,0.30000000000000004,309
IL,79.9144,0.9,0.5,0.5,310
MB,26.1388,0.9,0.5,0.5,310
MF,13.9468,0.9,0.5,0.5,310
IL,10.9156,0.0,1.0,0.2,311
MB,3.034037052994399,0.0,1.0,0.2,311
MF,106.2676,0.0,1.0,0.2,311
IL,48.2944,0.8,0.9,0.6000000000000001,312
MB,4.392958316471065,0.8,0.9,0.6000000000000001,312
MF,67.3636,0.8,0.9,0.6000000000000001,312
IL,108.4736,0.6000000000000001,0.30000000000000004,0.0,313
MB,4.264575794129473,0.6000000000000001,0.30000000000000004,0.0,313
MF,7.284,0.6000000000000001,0.30000000000000004,0.0,313
IL,5.5324,1.0,0.2,0.9,314
MB,41.184,1.0,0.2,0.9,314
MF,73.2836,1.0,0.2,0.9,314
IL,6.2568,0.2,1.0,0.9,315
MB,3.223441615452151,0.2,1.0,0.9,315
MF,110.806,0.2,1.0,0.9,315
IL,19.9808,0.9,1.0,0.7000000000000001,316
MB,4.16645596291614,0.9,1.0,0.7000000000000001,316
MF,96.0644,0.9,1.0,0.7000000000000001,316
IL,7.1992,0.8,0.4,0.9,317
MB,9.7124,0.8,0.4,0.9,317
MF,103.0884,0.8,0.4,0.9,317
IL,96.2804,0.2,0.8,0.1,318
MB,4.017927415828597,0.2,0.8,0.1,318
MF,20.044,0.2,0.8,0.1,318
IL,100.7524,0.2,0.30000000000000004,0.0,319
MB,4.247271200671705,0.2,0.30000000000000004,0.0,319
MF,15.2008,0.2,0.30000000000000004,0.0,319
IL,8.8724,0.5,0.5,0.9,320
MB,4.667488697081792,0.5,0.5,0.9,320
MF,106.5852,0.5,0.5,0.9,320
IL,34.178,0.4,0.6000000000000001,0.4,321
MB,3.2485620377978637,0.4,0.6000000000000001,0.4,321
MF,82.6592,0.4,0.6000000000000001,0.4,321
IL,5.898,0.1,0.6000000000000001,0.8,322
MB,3.7127746135069164,0.1,0.6000000000000001,0.8,322
MF,110.4516,0.1,0.6000000000000001,0.8,322
IL,5.23963133640553,1.0,0.0,0.6000000000000001,323
MB,109.818,1.0,0.0,0.6000000000000001,323
MF,5.1792,1.0,0.0,0.6000000000000001,323
IL,2.7505267593763167,0.0,0.1,1.0,324
MB,57.528,0.0,0.1,1.0,324
MF,59.8612,0.0,0.1,1.0,324
IL,106.8924,1.0,0.9,0.1,325
MB,4.635774989882639,1.0,0.9,0.1,325
MF,8.5256,1.0,0.9,0.1,325
IL,23.2172,0.0,1.0,0.1,326
MB,2.7478108581436076,0.0,1.0,0.1,326
MF,94.2724,0.0,1.0,0.1,326
IL,19.394,0.4,0.1,0.4,327
MB,64.5632,0.4,0.1,0.4,327
MF,36.0428,0.4,0.1,0.4,327
IL,111.402,0.6000000000000001,0.9,0.0,328
MB,3.0269168026101143,0.6000000000000001,0.9,0.0,328
MF,5.6292,0.6000000000000001,0.9,0.0,328
IL,6.9636,0.7000000000000001,1.0,0.9,329
MB,3.3472906403940885,0.7000000000000001,1.0,0.9,329
MF,109.7748,0.7000000000000001,1.0,0.9,329
IL,2.8472,0.0,0.8,0.9,330
MB,3.4638830897703548,0.0,0.8,0.9,330
MF,113.8344,0.0,0.8,0.9,330
IL,110.4668,0.7000000000000001,0.8,0.1,331
MB,2.9149209063702437,0.7000000000000001,0.8,0.1,331
MF,6.806,0.7000000000000001,0.8,0.1,331
IL,8.39146491588018,0.9,0.0,0.4,332
MB,106.9876,0.9,0.0,0.4,332
MF,4.9942124844977265,0.9,0.0,0.4,332
IL,5.114,0.8,0.1,0.8,333
MB,99.6728,0.8,0.1,0.8,333
MF,15.2132,0.8,0.1,0.8,333
IL,6.1556,0.6000000000000001,0.2,0.8,334
MB,19.028,0.6000000000000001,0.2,0.8,334
MF,94.8164,0.6000000000000001,0.2,0.8,334
IL,108.3372,1.0,0.9,0.2,335
MB,3.934721665999199,1.0,0.9,0.2,335
MF,7.7328,1.0,0.9,0.2,335
IL,23.636,0.2,0.7000000000000001,0.4,336
MB,3.002557544757033,0.2,0.7000000000000001,0.4,336
MF,93.5464,0.2,0.7000000000000001,0.4,336
IL,47.8352,0.2,0.8,0.2,337
MB,4.370581064607883,0.2,0.8,0.2,337
MF,67.8624,0.2,0.8,0.2,337
IL,10.8024,0.2,0.30000000000000004,0.6000000000000001,338
MB,7.04,0.2,0.30000000000000004,0.6000000000000001,338
MF,102.1576,0.2,0.30000000000000004,0.6000000000000001,338
IL,12.884692647649658,0.1,0.9,0.5,339
MB,2.7380538662033014,0.1,0.9,0.5,339
MF,104.6508,0.1,0.9,0.5,339
IL,7.746,0.30000000000000004,1.0,0.7000000000000001,340
MB,3.0076824583866837,0.30000000000000004,1.0,0.7000000000000001,340
MF,109.4352,0.30000000000000004,1.0,0.7000000000000001,340
IL,3.6654024441635062,0.0,0.0,0.7000000000000001,341
MB,81.5096,0.0,0.0,0.7000000000000001,341
MF,35.0112,0.0,0.0,0.7000000000000001,341
IL,3.398159263705482,0.5,0.0,0.8,342
MB,97.6736,0.5,0.0,0.8,342
MF,18.9296,0.5,0.0,0.8,342
IL,5.7524,0.7000000000000001,0.30000000000000004,1.0,343
MB,11.7764,0.7000000000000001,0.30000000000000004,1.0,343
MF,102.4712,0.7000000000000001,0.30000000000000004,1.0,343
IL,8.2484,0.0,0.5,0.2,344
MB,4.16256157635468,0.0,0.5,0.2,344
MF,107.6956,0.0,0.5,0.2,344
IL,23.5084,0.30000000000000004,0.8,0.6000000000000001,345
MB,3.6101545253863137,0.30000000000000004,0.8,0.6000000000000001,345
MF,93.2208,0.30000000000000004,0.8,0.6000000000000001,345
IL,87.6556,0.9,1.0,0.5,346
MB,5.214164546225615,0.9,1.0,0.5,346
MF,27.4264,0.9,1.0,0.5,346
IL,7.578726968174204,0.8,0.2,0.9,347
MB,25.5292,0.8,0.2,0.9,347
