strategy,count,delta,lambda,kappa,sim
MF,99.0464,0.5,0.6000000000000001,0.7000000000000001,35
IL,7.245094112935522,0.0,0.8,0.30000000000000004,36
MB,3.835378755818874,0.0,0.8,0.30000000000000004,36
MF,109.1384,0.0,0.8,0.30000000000000004,36
IL,102.338,1.0,0.5,0.2,37
MB,9.008410092110532,1.0,0.5,0.2,37
MF,8.6644,1.0,0.5,0.2,37
IL,45.4568,0.8,0.5,0.7000000000000001,38
MB,9.5852,0.8,0.5,0.7000000000000001,38
MF,64.958,0.8,0.5,0.7000000000000001,38
IL,92.0004,0.1,0.7000000000000001,0.1,39
MB,3.2287052810902894,0.1,0.7000000000000001,0.1,39
MF,24.9672,0.1,0.7000000000000001,0.1,39
IL,41.2592,0.2,0.4,0.2,40
MB,4.8163179916317995,0.2,0.4,0.2,40
MF,74.1364,0.2,0.4,0.2,40
IL,108.0816,0.8,1.0,0.2,41
MB,4.0171708912510224,0.8,1.0,0.2,41
MF,7.988,0.8,1.0,0.2,41
IL,12.7328,0.1,0.5,0.5,42
MB,3.8227272727272728,0.1,0.5,0.5,42
MF,103.5668,0.1,0.5,0.5,42
IL,99.87,0.2,0.1,0.0,43
MB,10.990247866720845,0.2,0.1,0.0,43
MF,9.3112,0.2,0.1,0.0,43
IL,4.742950551695954,0.9,0.3,0.7000000000000001,44
MB,15.69,0.9,0.3,0.7000000000000001,44
MF,99.6676,0.9,0.3,0.7000000000000001,44
IL,32.6796,0.1,0.4,0.30000000000000004,45
MB,5.313218390804598,0.1,0.4,0.30000000000000004,45
MF,82.1432,0.1,0.4,0.30000000000000004,45
IL,80.6316,1.0,0.0,0.0,46
MB,34.5072,1.0,0.0,0.0,46
MF,4.8612,1.0,0.0,0.0,46
IL,95.5392,1.0,0.7000000000000001,0.4,47
MB,8.424,1.0,0.7000000000000001,0.4,47
MF,16.0368,1.0,0.7000000000000001,0.4,47
IL,27.5928,0.6000000000000001,0.8,0.6000000000000001,48
MB,3.2835402482979577,0.6000000000000001,0.8,0.6000000000000001,48
MF,89.1276,0.6000000000000001,0.8,0.6000000000000001,48
IL,103.7812,0.7000000000000001,1.0,0.30000000000000004,49
MB,3.0055038103302287,0.7000000000000001,1.0,0.30000000000000004,49
MF,13.3792,0.7000000000000001,1.0,0.30000000000000004,49
IL,12.0728,0.4,0.1,0.6000000000000001,50
MB,51.9416,0.4,0.1,0.6000000000000001,50
MF,55.9856,0.4,0.1,0.6000000000000001,50
IL,24.0404,0.2,0.8,0.4,51
MB,4.194636326696465,0.2,0.8,0.4,51
MF,91.8304,0.2,0.8,0.4,51
IL,6.2208,0.30000000000000004,0.5,0.9,52
