strategy,count,delta,kappa,sim
IL,11.9476,0.4,0.9,68
MF,108.0524,0.4,0.9,68
IL,105.4552,0.9,0.2,69
MF,14.5448,0.9,0.2,69
IL,8.6732,0.7000000000000001,0.9,70
MF,111.3268,0.7000000000000001,0.9,70
IL,15.2368,0.6000000000000001,0.7000000000000001,71
MF,104.7632,0.6000000000000001,0.7000000000000001,71
IL,58.6196,0.6000000000000001,0.5,72
MF,61.3804,0.6000000000000001,0.5,72
IL,72.642,0.5,0.4,73
MF,47.358,0.5,0.4,73
IL,16.3572,0.4,0.7000000000000001,74
MF,103.6428,0.4,0.7000000000000001,74
IL,57.6264,1.0,0.7000000000000001,75
MF,62.3736,1.0,0.7000000000000001,75
IL,74.75,0.8,0.6000000000000001,76
MF,45.25,0.8,0.6000000000000001,76
IL,110.514,1.0,0.2,77
MF,9.486,1.0,0.2,77
IL,5.047215496368039,0.1,1.0,78
MF,114.9972,0.1,1.0,78
IL,112.01,0.5,0.1,79
MF,7.99,0.5,0.1,79
IL,108.942,0.6000000000000001,0.0,80
MF,11.058,0.6000000000000001,0.0,80
IL,11.9412,0.2,0.7000000000000001,81
MF,108.0588,0.2,0.7000000000000001,81
IL,60.104,0.7000000000000001,0.5,82
MF,59.896,0.7000000000000001,0.5,82
IL,55.5584,0.4,0.5,83
MF,64.4416,0.4,0.5,83
IL,28.5348,0.5,0.7000000000000001,84
MF,91.4652,0.5,0.7000000000000001,84
IL,11.4736,0.6000000000000001,0.9,85
MF,108.5264,0.6000000000000001,0.9,85
IL,18.7756,0.9,1.0,86
MF,101.2244,0.9,1.0,86
IL,82.0988,0.6000000000000001,0.30000000000000004,87
MF,37.9012,0.6000000000000001,0.30000000000000004,87
IL,16.7636,0.5,0.8,88
MF,103.2364,0.5,0.8,88
IL,29.4664,0.8,0.7000000000000001,89
MF,90.5336,0.8,0.7000000000000001,89
IL,4.1734080897076495,0.0,0.9,90
MF,115.8316,0.0,0.9,90
IL,112.734,0.8,0.0,91
MF,7.266,0.8,0.0,91
IL,81.1288,1.0,0.6000000000000001,92
MF,38.8712,1.0,0.6000000000000001,92
IL,30.3456,1.0,0.8,93
MF,89.6544,1.0,0.8,93
IL,21.7476,0.1,0.4,94
MF,98.2524,0.1,0.4,94
IL,12.4976,0.2,0.5,95
MF,107.5024,0.2,0.5,95
IL,7.1148,0.30000000000000004,0.9,96
MF,112.8852,0.30000000000000004,0.9,96
IL,100.0604,0.5,0.2,97
MF,19.9396,0.5,0.2,97
IL,68.556,0.0,0.0,98
MF,51.444,0.0,0.0,98
IL,48.7312,0.5,0.6000000000000001,99
MF,71.2688,0.5,0.6000000000000001,99
IL,111.9124,1.0,0.1,100
MF,8.0876,1.0,0.1,100
IL,13.2048,0.2,0.6000000000000001,101
MF,106.7952,0.2,0.6000000000000001,101
IL,10.5976,0.8,0.9,102
MF,109.4024,0.8,0.9,102
IL,97.238,0.30000000000000004,0.0,103
MF,22.762,0.30000000000000004,0.0,103
IL,103.0708,0.9,0.4,104
MF,16.9292,0.9,0.4,104
IL,101.7168,1.0,0.4,105
MF,18.2832,1.0,0.4,105
IL,41.202,0.7000000000000001,0.6000000000000001,106
MF,78.798,0.7000000000000001,0.6000000000000001,106
IL,5.0584,0.0,0.5,107
MF,114.9416,0.0,0.5,107
IL,113.4392,0.9,0.1,108
MF,6.5608,0.9,0.1,108
IL,36.2708,0.9,0.7000000000000001,109
MF,83.7292,0.9,0.7000000000000001,109
IL,25.828,0.30000000000000004,0.5,110
MF,94.172,0.30000000000000004,0.5,110
IL,7.112,0.2,0.9,111
MF,112.888,0.2,0.9,111
IL,6.3028,0.1,0.8,112
MF,113.6972,0.1,0.8,112
IL,91.076,0.8,0.5,113
MF,28.924,0.8,0.5,113
IL,99.6884,0.8,0.30000000000000004,114
MF,20.3116,0.8,0.30000000000000004,114
IL,51.0512,0.6000000000000001,0.6000000000000001,115
MF,68.9488,0.6000000000000001,0.6000000000000001,115
IL,103.6908,0.9,0.30000000000000004,116
MF,16.3092,0.9,0.30000000000000004,116
IL,105.2276,0.2,0.0,117
MF,14.7724,0.2,0.0,117
IL,8.9196,0.5,1.0,118
MF,111.0804,0.5,1.0,118
IL,16.5364,0.9,0.8,119
MF,103.4636,0.9,0.8,119
IL,34.8188,0.4,0.6000000000000001,120
MF,85.1812,0.4,0.6000000000000001,120
IL,59.606,0.1,0.1,121
MF,60.394,0.1,0.1,121
