strategy,avg_payoff,delta,kappa,sim
MF,0.5629171079167807,0.4,0.0,63
IL,0.7932041050507455,0.1,0.2,64
MF,0.7131214038710002,0.1,0.2,64
IL,0.9917510449897593,0.7000000000000001,0.0,65
MF,0.2863457442557442,0.7000000000000001,0.0,65
IL,0.2972430641808155,0.7000000000000001,0.7000000000000001,66
MF,0.08040353657044026,0.7000000000000001,0.7000000000000001,66
IL,0.3966272750277059,0.9,0.6000000000000001,67
MF,0.05949261674942422,0.9,0.6000000000000001,67
IL,0.09917342753930673,0.4,0.9,68
MF,0.136655322776652,0.4,0.9,68
IL,0.7933086114414626,0.9,0.2,69
MF,0.09114267535921636,0.9,0.2,69
IL,0.09915196938636651,0.7000000000000001,0.9,70
MF,0.0321665807433354,0.7000000000000001,0.9,70
IL,0.2975361872721398,0.6000000000000001,0.7000000000000001,71
MF,0.08370865584423613,0.6000000000000001,0.7000000000000001,71
IL,0.49578031331242284,0.6000000000000001,0.5,72
MF,0.2619735883955896,0.6000000000000001,0.5,72
IL,0.5950633387707863,0.5,0.4,73
MF,0.352164136098685,0.5,0.4,73
IL,0.29762829324052176,0.4,0.7000000000000001,74
MF,0.16951957015368824,0.4,0.7000000000000001,74
IL,0.29757719463868026,1.0,0.7000000000000001,75
MF,0.015502315245668325,1.0,0.7000000000000001,75
IL,0.3966329246777459,0.8,0.6000000000000001,76
MF,0.13305889062048049,0.8,0.6000000000000001,76
IL,0.7933169975958457,1.0,0.2,77
MF,0.015864220812331055,1.0,0.2,77
IL,0.0,0.1,1.0,78
MF,0.30324543393704906,0.1,1.0,78
IL,0.8924976988972688,0.5,0.1,79
MF,0.4631051552472296,0.5,0.1,79
IL,0.991666840348557,0.6000000000000001,0.0,80
MF,0.4059491326097363,0.6000000000000001,0.0,80
IL,0.2974312094561784,0.2,0.7000000000000001,81
MF,0.2811149880573185,0.2,0.7000000000000001,81
IL,0.4957341948977945,0.7000000000000001,0.5,82
MF,0.1754789387783889,0.7000000000000001,0.5,82
IL,0.4958725410141774,0.4,0.5,83
MF,0.39999437701923235,0.4,0.5,83
IL,0.2976080128666123,0.5,0.7000000000000001,84
MF,0.17761974038934528,0.5,0.7000000000000001,84
IL,0.09918935826861883,0.6000000000000001,0.9,85
MF,0.07101446337526543,0.6000000000000001,0.9,85
IL,0.0,0.9,1.0,86
MF,0.011821865867692913,0.9,1.0,86
IL,0.694011168915802,0.6000000000000001,0.30000000000000004,87
MF,0.33783538809753666,0.6000000000000001,0.30000000000000004,87
IL,0.19844723541005416,0.5,0.8,88
MF,0.12674973405266476,0.5,0.8,88
IL,0.2975400532335857,0.8,0.7000000000000001,89
MF,0.05766813270650294,0.8,0.7000000000000001,89
IL,0.09908853683583349,0.0,0.9,90
MF,0.9891038648639322,0.0,0.9,90
IL,0.9916671496767747,0.8,0.0,91
MF,0.18293371474930298,0.8,0.0,91
IL,0.3966463680061549,1.0,0.6000000000000001,92
MF,0.006674461486488421,1.0,0.6000000000000001,92
IL,0.19844354286561758,1.0,0.8,93
MF,0.013760615803289874,1.0,0.8,93
IL,0.5951097290959236,0.1,0.4,94
MF,0.6050296062048673,0.1,0.4,94
IL,0.4952885697387221,0.2,0.5,95
MF,0.2765412336561844,0.2,0.5,95
IL,0.09914377902163186,0.30000000000000004,0.9,96
MF,0.1068710031525185,0.30000000000000004,0.9,96
IL,0.79325429659695,0.5,0.2,97
MF,0.42857915351392156,0.5,0.2,97
IL,0.9917519212045613,0.0,0.0,98
MF,0.9910984744788249,0.0,0.0,98
IL,0.3967337499493484,0.5,0.6000000000000001,99
MF,0.2651334065051916,0.5,0.6000000000000001,99
IL,0.8924889467036364,1.0,0.1,100
MF,0.013890730973532831,1.0,0.1,100
IL,0.3965456611913387,0.2,0.6000000000000001,101
MF,0.28521163192305066,0.2,0.6000000000000001,101
IL,0.09918085695082192,0.8,0.9,102
MF,0.028367929907523678,0.8,0.9,102
IL,0.9916315603387953,0.30000000000000004,0.0,103
MF,0.6343776315102421,0.30000000000000004,0.0,103
IL,0.5949933488285883,0.9,0.4,104
MF,0.08961346431682857,0.9,0.4,104
IL,0.5949452351401425,1.0,0.4,105
MF,0.013609705127634165,1.0,0.4,105
IL,0.39676883376364014,0.7000000000000001,0.6000000000000001,106
MF,0.1261460192181008,0.7000000000000001,0.6000000000000001,106
IL,0.49527584415584414,0.0,0.5,107
MF,0.9892657171964491,0.0,0.5,107
IL,0.8925311222876126,0.9,0.1,108
MF,0.0975664491064491,0.9,0.1,108
IL,0.297434721850878,0.9,0.7000000000000001,109
MF,0.03351185199260475,0.9,0.7000000000000001,109
IL,0.4956070967872153,0.30000000000000004,0.5,110
